GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,PreSeason,Conference Champ,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
1,2023,1,CLE,SEA,0,0,0,0,0,0,0,1,0,0,0,RobSun08,TuscanSota,,FirstEnergy Stadium,Cleveland,OH,,
2,2023,1,TEN,ATL,0,0,0,0,0,0,0,1,0,0,0,kwheeler,mahrowkeen,,Nissan Stadium,Nashville,TN,,
3,2023,1,KC,NO,0,0,0,0,0,0,0,1,0,0,0,jw1952tx,Bingo415,,Arrowhead Stadium,Kansas City,MO,,
4,2023,1,DET,BAL,0,0,0,0,0,0,0,1,0,0,0,jmjacobs,SyndaKyt,,Ford Field,Detroit,MI,,
5,2023,1,PIT,LAR,0,0,0,0,0,0,0,1,0,0,0,smackemz3,Vivid,,Heinz Field,Pittsburgh,PA,,
6,2023,1,JAX,GB,0,0,0,0,0,0,0,1,0,0,0,Weeze,Suffocation,,TIAA Bank Field,Jacksonville,FL,,
7,2023,1,CHI,SF,0,0,0,0,0,0,0,1,0,0,0,nemolee.exe,Dr_Novella,,Soldier Field,Chicago,IL,,
8,2023,1,LV,MIN,0,0,0,0,0,0,0,1,0,0,0,cultur3,bundy,,Allegiant Stadium,Paradise,NV,,
9,2023,1,MIA,TB,0,0,0,0,0,0,0,1,0,0,0,TheLiberator,AI,,Hard Rock Stadium,Miami Gardens,FL,,
10,2023,1,PHI,IND,0,0,0,0,0,0,0,1,0,0,0,acewulf,npklemm,,Lincoln Financial Field,Philadelphia,PA,,
11,2023,1,BUF,LAC,0,0,0,0,0,0,0,1,0,0,0,Minnow,Pumph,,Highmark Stadium,Orchard Park,NY,,
12,2023,1,CAR,DEN,0,0,0,0,0,0,0,1,0,0,0,Sarge,AI,,Bank of America Stadium,Charlotte,NC,,
13,2023,1,WAS,NYJ,0,0,0,0,0,0,0,1,0,0,0,Ewade,Coach123,,FedExField,Landover,MD,,
