GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
1718,2023,1,UHOU,TENN,0,0,0,0,0,0,0,0,0,0,0,mahrowkeen,tsweezy,,John O'Quinn Field at TDECU Stadium,Houston,TX,,
1719,2023,2,UHOU,UTSA,0,0,0,0,0,0,0,0,0,0,0,mahrowkeen,Dakotagreer,,John O'Quinn Field at TDECU Stadium,Houston,TX,,
1720,2023,3,UHOU,TXSO,0,0,0,0,0,0,0,0,0,0,0,mahrowkeen,AI,,John O'Quinn Field at TDECU Stadium,Houston,TX,,
