GameID,Season,Week,Home Team,Away Team,Listed Win,Other Win,Listed Score,Other Score,Conference Game,Division Game,Neutral Site,Conference Champ,Bowl Game,Playoff,National Champ,Listed Coach,Other Coach,TimeSlot,Stadium,City,State,GameTitle,Info
1705,2023,1,UCF,USF,,,,,0,0,0,0,0,0,0,rajmurti,AI,,Bounce House,Orlando,FL,,
1706,2023,1,MINN,SDST,,,,,0,0,0,0,0,0,0,Minnow,AI,,TCF Bank Stadium,Minneapolis,MN,,
1707,2023,1,SOCA,NW,,,,,0,0,0,0,0,0,0,DimeGuy69,AI,,Williams-Brice Stadium,Columbia,SC,,
1708,2023,1,CONN,PURD,,,,,0,0,0,0,0,0,0,bradypeterson,MasonAsher,,Pratt & Whitney Stadium at Rentschler Field,Storrs,CT,,
1709,2023,1,WISC,LT,,,,,0,0,0,0,0,0,0,khweeler,AI,,Camp Randall Stadium,Madison,WI,,
1710,2023,1,TENN,UMD,,,,,0,0,0,0,0,0,0,tsweezy,RobSun08,,Neyland Stadium,Knoxville,TN,,
1711,2023,1,MICH,UGA,,,,,0,0,0,0,0,0,0,subsequent,Sarge,,Michigan Stadium,Ann Arbor,MI,,
1712,2023,1,MIST,CMU,,,,,0,0,0,0,0,0,0,AI,Time,,Spartan Stadium,East Lansing,MI,,
1713,2023,1,OHST,WASH,,,,,0,0,0,0,0,0,0,Sky Master,Red1k,,Ohio Stadium,Columbus,OH,,
1714,2023,1,FIU,OHIO,,,,,0,0,0,0,0,0,0,AI,AI,,Riccardo Silva Stadium,Miami,FL,,
1715,2023,1,HAWI,JXST,,,,,0,0,0,0,0,0,0,moneymike480,AI,,Aloha Stadium,Honolulu,HI,,
1716,2023,1,NEV,MTSU,,,,,0,0,0,0,0,0,0,AI,AI,,Mackay Stadium,Reno,NV,,
1717,2023,1,BOIS,SHSU,,,,,0,0,0,0,0,0,0,AI,AI,,Albertsons Stadium,Boise,ID,,
1718,2023,1,UTEP,UNM,,,,,0,0,0,0,0,0,0,AI,DarthJarJar,,Sun Bowl Stadium,El Paso,TX,,
1719,2023,1,WKU,TLDO,,,,,0,0,0,0,0,0,0,AI,AI,,L. T. Smith Stadium at Jimmy Feix Field,Bowling Green,KY,,
1720,2023,1,AZST,ND,,,,,0,0,0,0,0,0,0,rvjruk,Coach123,,"Sun Devil Stadium, Frank Kush Field",Tempe,AZ,,
1721,2023,1,ARMY,VMI,,,,,0,0,0,0,0,0,0,AI,AI,,Blaik Field at Michie Stadium,West Point,NY,,
1722,2023,1,MASS,HC,,,,,0,0,0,0,0,0,0,AI,AI,,Warren McGuirk Alumni Stadium,Amherst,MA,,
1723,2023,1,MIAO,YSU,,,,,0,0,0,0,0,0,0,AI,AI,,Fred C. Yager Stadium,Oxford,OH,,
1724,2023,1,BUFF,COLG,,,,,0,0,0,0,0,0,0,AI,AI,,UB Stadium,Buffalo,NY,,
1725,2023,1,KENT,ILST,,,,,0,0,0,0,0,0,0,AI,AI,,Dix Stadium,Kent,OH,,
1726,2023,1,BGSU,TXST,,,,,0,0,0,0,0,0,0,PoopyRhinoPickle,AI,,Doyt L. Perry Stadium,Bowling Green,OH,,
1727,2023,1,AKRN,APST,,,,,0,0,0,0,0,0,0,AI,AI,,InfoCision Stadium-Summa Field,Akron,OH,,
1728,2023,1,SIU,WMU,,,,,0,0,0,0,0,0,0,AI,Jieret,,Saluki Stadium,Carbondale,IL,,
1729,2023,1,EMU,WIU,,,,,0,0,0,0,0,0,0,AI,AI,,Rynearson Stadium,Ypsilanti,MI,,
1730,2023,1,WYOM,ZONA,,,,,0,0,0,0,0,0,0,Kremit,Parks&Rek,,Jonah Field at War Memorial Stadium,Laramie,WY,,
1731,2023,1,CSU,COLO,,,,,0,0,0,0,0,0,0,Bellwood,Bingo415,,Sonny Lubick Field at Canvas Stadium,Fort Collins,CO,,
1732,2023,1,SDSU,MISS,,,,,0,0,0,0,0,0,0,Pumph,SlapYourBasil,,SDCCU Stadium,San Diego,CA,,
