firstname,,api weight
PARKER,74266,1
DEL,74267,1
DIETER,74268,1
JAMISON,74269,1
WILMER,74270,1
URIEL,74271,1
JERE,74272,1
DUDLEY,74273,1
FOREST,74274,1
DALTON,74275,1
ALPHONSO,74276,1
ARIC,74277,1
KEVEN,74278,1
BERNHARD,74279,1
REYES,74280,1
TANNER,74281,1
MILO,74282,1
ANDERS,74283,1
DOUGLASS,74284,1
LASZLO,74285,1
ALONSO,74286,1
ELEAZAR,74287,1
LOYD,74288,1
MAYNARD,74289,1
VITALIY,74290,1
DILLON,74291,1
BARTHOLOMEW,74292,1
HEINZ,74293,1
ROLLAND,74294,1
VALERIY,74295,1
ZOLTAN,74296,1
MILENA,74297,1
NORMAND,74298,1
DELMAR,74299,1
LESLY,74300,1
THOR,74301,1
LORNE,74302,1
ANGUS,74303,1
WES,74304,1
ABRAM,74305,1
ANTONINO,74306,1
CLEVELAND,74307,1
DARON,74308,1
JARVIS,74309,1
NEVILLE,74310,1
NIKOLAS,74311,1
ROCK,74312,1
SERGEI,74313,1
ANATOLY,74314,1
CLARKE,74315,1
COY,74316,1
RODRICK,74317,1
BRIEN,74318,1
DAMION,74319,1
GREGGORY,74320,1
VASILE,74321,1
BENTON,74322,1
ROLLIN,74323,1
DARRON,74324,1
FRANZ,74325,1
JEFFEREY,74326,1
ARAM,74327,1
CHRISTOPH,74328,1
GLYNN,74329,1
LILIYA,74330,1
TIBOR,74331,1
AUGUSTUS,74332,1
TEDD,74333,1
YVES,74334,1
AVI,74335,1
HENRIK,74336,1
HOYT,74337,1
OLIVIER,74338,1
SHON,74339,1
BRYN,74340,1
LESZEK,74341,1
MIHAI,74342,1
NICOLAE,74343,1
TERRILL,74344,1
UBALDO,74345,1
CECILIO,74346,1
BABAK,74347,1
BRYSON,74348,1
LUCIAN,74349,1
RONY,74350,1
VIDAL,74351,1
AHMET,74352,1
BUD,74353,1
DAX,74354,1
BURKE,74355,1
TATE,74356,1
ABE,74357,1
BEATE,74358,1
CIRO,74359,1
PEYTON,74360,1
