id,rival_1_id,rival_1_team,rival_2_id,rival_2_team,rivalry_name,trophy_name,rival_1_priority,rival_2_priority
288,,Texas,,Texas A&M,Heart of Texas,,5,5
289,,Texas A&M,,Texas Tech,,,1,2
290,,Texas State,,UTSA,I-35 Rivalry,,5,5
291,,Texas State,,Nicholls,Battle for the Paddle,,2,3
292,,The Citadel,,VMI,Military Classic of the South,,5,5
293,,The Citadel,,Furman,,,3,3
294,,The Citadel,,Wofford,,Big Dog Trophy,3,3
295,,Troy,,Jacksonville State,Battle for the Ol' School Bell,,4,4
296,,Troy,,Middle Tennessee,Battle for the Palladium,,4,4
297,,Tulane,,Southern Miss,Battle for the Bell,,3,3
298,,UConn,,UMass,,,3,3
299,,UF,,FSU,,Florida Cup,5,5
300,,USC,,UCLA,,Victory Bell,4,5
301,,South Florida,,UCF,War on I-4,,5,5
302,,Utah,,BYU,Holy War,Beehive Boot,5,5
303,,Utah,,Utah State,Battle of the Brothers,,3,5
304,,Utah State,,Wyoming,,,4,4
305,,UTEP,,New Mexico State,Battle of I-10,,5,5
306,,Virginia,,Virginia Tech,Commonwealth Clash,Commonwealth Cup,5,5
307,,Virginia,,Maryland,,,4,4
308,,Virginia Tech,,VMI,,,1,5
309,,VMI,,William & Mary,,,3,2
310,,Washington,,Washington State,Apple Cup,Apple Cup,4,5
311,,Washington,,Oregon,Border War,,5,5
312,,Washington State,,Idaho,Battle of the Palouse,,3,5
313,,Washington State,,Oregon State,,Left Behind Trophy,4,4
314,,West Virginia,,Pittsburgh,Backyard Brawl,,5,5
315,,West Virginia,,Virginia Tech,,Black Diamond Trophy,3,3
316,,Western Kentucky,,Murray State,Battle for the Red Belt,,4,4
317,,Western Michigan,,Eastern Michigan,,Michigan MAC Trophy,5,5
