name,,hispanic weight
GARCIA,1073180,1073180
RODRIGUEZ,2099890,1026710
HERNANDEZ,3089859,989969
MARTINEZ,4074852,984993
LOPEZ,4887458,812606
GONZALEZ,5686179,798721
PEREZ,6319768,633589
SANCHEZ,6889566,569798
RAMIREZ,7416219,526653
TORRES,7819707,403488
FLORES,8218698,398991
RIVERA,8574846,356148
GOMEZ,8913442,338596
DIAZ,9235213,321771
CRUZ,9528908,293695
MORALES,9819577,290669
REYES,10110034,290457
GUTIERREZ,10383694,273660
ORTIZ,10650825,267131
CHAVEZ,10884059,233234
RAMOS,11112719,228660
RUIZ,11334014,221295
MENDOZA,11552435,218421
ALVAREZ,11768752,216317
JIMENEZ,11982174,213422
CASTILLO,12190151,207977
VASQUEZ,12388399,198248
ROMERO,12573022,184623
MORENO,12754645,181623
GONZALES,12935170,180525
HERRERA,13114449,179279
AGUILAR,13288501,174052
MEDINA,13460334,171833
VARGAS,13621861,161527
CASTRO,13782830,160969
GUZMAN,13939467,156637
MENDEZ,14091206,151739
FERNANDEZ,14242353,151147
MUNOZ,14390502,148149
SALAZAR,14530454,139952
GARZA,14666418,135964
SOTO,14801407,134989
VAZQUEZ,14933850,132443
ALVARADO,15059901,126051
CONTRERAS,15183088,123187
DELGADO,15306059,122971
PENA,15427026,120967
RIOS,15546653,119627
GUERRERO,15665383,118730
SANDOVAL,15783924,118541
ORTEGA,15902412,118488
ESTRADA,16020780,118368
NUNEZ,16137004,116224
MALDONADO,16250886,113882
DOMINGUEZ,16361946,111060
VALDEZ,16472766,110820
VEGA,16580898,108132
SANTIAGO,16688517,107619
ESPINOZA,16794962,106445
ROJAS,16897376,102414
SILVA,16996521,99145
MEJIA,17094865,98344
MARQUEZ,17192397,97532
JUAREZ,17289921,97524
PADILLA,17384918,94997
LUNA,17477709,92791
ACOSTA,17570247,92538
FIGUEROA,17661644,91397
CORTEZ,17752812,91168
AVILA,17841328,88516
NAVARRO,17929297,87969
MOLINA,18016888,87591
AYALA,18104034,87146
CAMPOS,18191033,86999
SANTOS,18276391,85358
CARRILLO,18361441,85050
CERVANTES,18439748,78307
DURAN,18517625,77877
LARA,18594279,76654
CABRERA,18670390,76111
SOLIS,18746317,75927
MIRANDA,18822127,75810
ROBLES,18897806,75679
FUENTES,18973335,75529
SALINAS,19048712,75377
VELASQUEZ,19122823,74111
OCHOA,19196850,74027
AGUIRRE,19270753,73903
LEON,19344342,73589
CARDENAS,19417101,72759
DELEON,19489707,72606
RIVAS,19561088,71381
CALDERON,19632430,71342
ROSALES,19702509,70079
SERRANO,19771163,68654
CASTANEDA,19837834,66671
TRUJILLO,19903498,65664
MONTOYA,19967036,63538
PACHECO,20030259,63223
OROZCO,20093368,63109
IBARRA,20156339,62971
VALENCIA,20218800,62461
GALLEGOS,20280944,62144
VELAZQUEZ,20342098,61154
CAMACHO,20402902,60804
GUERRA,20463576,60674
COLON,20524011,60435
ESCOBAR,20583545,59534
SUAREZ,20643035,59490
SALAS,20702100,59065
SMITH,20760731,58631
MACIAS,20819311,58580
VILLARREAL,20876279,56968
BARRERA,20933116,56837
FRANCO,20989769,56653
ZAMORA,21046072,56303
DELACRUZ,21101768,55696
SANTANA,21157332,55564
ROMAN,21212509,55177
PINEDA,21267654,55145
TREVINO,21322182,54528
RANGEL,21375714,53532
ARIAS,21429207,53493
LOZANO,21482207,53000
ZUNIGA,21535128,52921
MERCADO,21587716,52588
MELENDEZ,21640054,52338
MORA,21692110,52056
VALENZUELA,21743961,51851
ANDRADE,21794813,50852
MEZA,21845663,50850
VILLANUEVA,21896264,50601
GALVAN,21945920,49656
TAPIA,21995169,49249
ZAVALA,22044342,49173
SOSA,22093289,48947
VELEZ,22141776,48487
CISNEROS,22190012,48236
BENITEZ,22238150,48138
ACEVEDO,22286183,48033
BONILLA,22334173,47990
ARROYO,22381400,47227
VILLA,22428269,46869
RUBIO,22475014,46745
BAUTISTA,22521296,46282
ARELLANO,22567451,46155
JOHNSON,22613065,45614
PONCE,22658595,45530
HUERTA,22703900,45305
BELTRAN,22749121,45221
ROCHA,22793918,44797
VILLEGAS,22838570,44652
CANTU,22883220,44650
MONTES,22927789,44569
BARAJAS,22971343,43554
MATA,23014838,43495
MURILLO,23057589,42751
ROSAS,23100316,42727
CORTES,23143031,42715
GUEVARA,23185722,42691
SALGADO,23228399,42677
ROSARIO,23270212,41813
PALACIOS,23311404,41192
DAVILA,23352218,40814
WILLIAMS,23392686,40468
ESPARZA,23432763,40077
CUEVAS,23472198,39435
CORDOVA,23511391,39193
MARTIN,23550456,39065
TREJO,23589479,39023
QUINTERO,23628204,38725
MARIN,23666216,38012
BRAVO,23703996,37780
CORONA,23741510,37514
MEDRANO,23778944,37434
NAVA,23816138,37194
MAGANA,23853248,37110
DEJESUS,23890204,36956
BROWN,23926417,36213
PORTILLO,23962321,35904
VILLALOBOS,23998126,35805
ENRIQUEZ,24033829,35703
ESQUIVEL,24069400,35571
AVALOS,24104782,35382
BERNAL,24139926,35144
LUGO,24174497,34571
DUARTE,24208879,34382
CANO,24242984,34105
PARRA,24276914,33930
ESPINOSA,24310805,33891
GALINDO,24344556,33751
DELAROSA,24378258,33702
QUINTANA,24411791,33533
ALFARO,24445108,33317
JARAMILLO,24478290,33182
LUCERO,24511242,32952
CORREA,24543888,32646
JONES,24576531,32643
REYNA,24609150,32619
SIERRA,24641543,32393
NIEVES,24673745,32202
SALDANA,24705806,32061
QUINONES,24737351,31545
PERALTA,24768825,31474
BECERRA,24800215,31390
AMAYA,24831489,31274
SAENZ,24862410,30921
TOVAR,24893328,30918
VERA,24923978,30650
LEAL,24954506,30528
CARDONA,24984539,30033
AGUILERA,25014405,29866
ZAPATA,25044187,29782
BAEZ,25073710,29523
VENTURA,25103185,29475
BARRIOS,25132619,29434
CASTELLANOS,25161944,29325
CARRASCO,25191188,29244
SAUCEDO,25220183,28995
GALLARDO,25248974,28791
HURTADO,25277412,28438
GUILLEN,25305644,28232
ALONSO,25333571,27927
OSORIO,25361351,27780
MUNIZ,25389105,27754
ZEPEDA,25416853,27748
ESCOBEDO,25444546,27693
ARREDONDO,25472073,27527
SEGURA,25499571,27498
VALLE,25526964,27393
MORAN,25554266,27302
DAVIS,25581505,27239
VELASCO,25608718,27213
CARRANZA,25635761,27043
FELIX,25662386,26625
RENTERIA,25688957,26571
BLANCO,25715268,26311
OLVERA,25741463,26195
CORDERO,25767317,25854
QUIROZ,25793160,25843
LEMUS,25818982,25822
CABALLERO,25844777,25795
CHACON,25870509,25732
CORONADO,25896079,25570
ORELLANA,25921568,25489
MADRIGAL,25946895,25327
DELATORRE,25972145,25250
MILLER,25997348,25203
GRANADOS,26022275,24927
PAREDES,26047170,24895
QUEZADA,26071966,24796
CARMONA,26096565,24599
LEYVA,26121117,24552
HINOJOSA,26145634,24517
ROSADO,26170137,24503
VIGIL,26194256,24119
VARELA,26218326,24070
YANEZ,26242357,24031
BERMUDEZ,26266365,24008
ROMO,26290237,23872
AVILES,26313970,23733
MONTANO,26337531,23561
NIETO,26360741,23210
VELA,26383890,23149
URIBE,26407027,23137
SERNA,26430102,23075
GAMEZ,26453101,22999
NAVARRETE,26476083,22982
RICO,26499000,22917
OLIVARES,26521691,22691
GIL,26544364,22673
PAZ,26567027,22663
BACA,26589621,22594
BURGOS,26612109,22488
CANALES,26634459,22350
ANAYA,26656674,22215
BARRAGAN,26678841,22167
BARRON,26700981,22140
MADRID,26723070,22089
AREVALO,26745125,22055
BENAVIDES,26767179,22054
SOLANO,26789041,21862
REYNOSO,26810860,21819
ROSA,26832635,21775
BUSTAMANTE,26854351,21716
ARAGON,26875907,21556
MONTALVO,26897299,21392
ORNELAS,26918657,21358
CASILLAS,26940015,21358
TELLEZ,26961330,21315
QUINTANILLA,26982305,20975
WILSON,27003234,20929
ALEMAN,27024141,20907
OCAMPO,27044994,20853
PRADO,27065816,20822
PINA,27086634,20818
CARBAJAL,27107310,20676
VALADEZ,27127958,20648
OJEDA,27148603,20645
GODINEZ,27169208,20605
ARREOLA,27189714,20506
RODRIQUEZ,27210184,20470
CUELLAR,27230635,20451
AMADOR,27250705,20070
FONSECA,27270766,20061
PAGAN,27290625,19859
HIDALGO,27310471,19846
SOTELO,27330295,19824
VENEGAS,27350093,19798
ESCAMILLA,27369856,19763
BETANCOURT,27389606,19750
ZARATE,27409187,19581
YBARRA,27428746,19559
PATINO,27448214,19468
THOMAS,27467420,19206
ANDERSON,27486559,19139
LUJAN,27505549,18990
MARRERO,27524395,18846
POLANCO,27543069,18674
ESCALANTE,27561681,18612
OTERO,27580289,18608
MARROQUIN,27598884,18595
ARTEAGA,27617439,18555
TAYLOR,27635918,18479
OLIVAS,27654357,18439
VALDES,27672747,18390
LINARES,27691098,18351
ARRIAGA,27709360,18262
RENDON,27727585,18225
FELICIANO,27745796,18211
CASAS,27764000,18204
SEPULVEDA,27782181,18181
SORIANO,27800298,18117
GALVEZ,27818286,17988
LEDESMA,27836238,17952
BANUELOS,27854152,17914
BRITO,27871961,17809
JACKSON,27889663,17702
BARRIENTOS,27907356,17693
ZARAGOZA,27925038,17682
PRIETO,27942623,17585
ARANDA,27960141,17518
MONDRAGON,27977599,17458
VALLEJO,27995035,17436
COVARRUBIAS,28012454,17419
NAJERA,28029867,17413
MENA,28047265,17398
CHAVARRIA,28064571,17306
SAAVEDRA,28081871,17300
PULIDO,28099070,17199
MATOS,28116231,17161
BARRAZA,28133372,17141
ALARCON,28150510,17138
ARCE,28167577,17067
JAIMES,28184592,17015
CEJA,28201551,16959
MOORE,28218501,16950
ARGUETA,28235367,16866
NEGRON,28252133,16766
ORDONEZ,28268823,16690
GAMBOA,28285406,16583
CERDA,28301960,16554
THOMPSON,28318509,16549
VALENTIN,28334988,16479
SALCEDO,28351420,16432
HEREDIA,28367844,16424
CORNEJO,28384249,16405
ALCALA,28400525,16276
ALONZO,28416763,16238
MOYA,28432900,16137
MIRELES,28448962,16062
SALDIVAR,28464999,16037
CAVAZOS,28481031,16032
PIMENTEL,28497044,16013
LONGORIA,28513014,15970
ANGUIANO,28528777,15763
WHITE,28544496,15719
NEVAREZ,28560182,15686
CRESPO,28575843,15661
ZAMBRANO,28591465,15622
BALDERAS,28607077,15612
CAZARES,28622659,15582
RINCON,28638213,15554
ONTIVEROS,28653651,15438
ESPINAL,28669019,15368
ALANIZ,28684343,15324
TOLEDO,28699614,15271
CORRAL,28714823,15209
TORREZ,28730005,15182
DELOSSANTOS,28745122,15117
ROBLEDO,28760238,15116
MONTANEZ,28775340,15102
BUSTOS,28790364,15024
ADAME,28805360,14996
PALMA,28820327,14967
VALDIVIA,28835288,14961
ABREU,28850222,14934
HOLGUIN,28865098,14876
FRIAS,28879940,14842
ACUNA,28894666,14726
VIDAL,28909355,14689
HENRIQUEZ,28924039,14684
MONTERO,28938700,14661
CARRERA,28953310,14610
BUENO,28967903,14593
CEBALLOS,28982488,14585
BATISTA,28997054,14566
DELGADILLO,29011608,14554
ESPINO,29026144,14536
CLARK,29040661,14517
PANTOJA,29055167,14506
OLIVA,29069585,14418
NEGRETE,29083956,14371
NARANJO,29098295,14339
APONTE,29112633,14338
ELIZONDO,29126941,14308
CHAPA,29141246,14305
SOLORZANO,29155543,14297
AQUINO,29169759,14216
URBINA,29183868,14109
HARRIS,29197976,14108
GAYTAN,29212082,14106
RESENDIZ,29226108,14026
ALMANZA,29240048,13940
PUENTE,29253987,13939
TAMAYO,29267899,13912
ROBINSON,29281727,13828
LEWIS,29295446,13719
MONROY,29309134,13688
TEJEDA,29322807,13673
ARMENTA,29336454,13647
TEJADA,29350015,13561
PERALES,29363571,13556
FARIAS,29376961,13390
GIRON,29390350,13389
VILLASENOR,29403710,13360
LIRA,29417036,13326
COLLAZO,29430243,13207
NORIEGA,29443429,13186
LIMON,29456582,13153
LEE,29469680,13098
MOJICA,29482766,13086
SOLORIO,29495758,12992
CENTENO,29508744,12986
ARAUJO,29521677,12933
BANDA,29534589,12912
RODRIGUES,29547495,12906
MACHADO,29560312,12817
APARICIO,29573069,12757
SORIA,29585762,12693
ANGEL,29598436,12674
GARAY,29611090,12654
WALKER,29623697,12607
IRIZARRY,29636258,12561
LOERA,29648815,12557
GUAJARDO,29661348,12533
YOUNG,29673846,12498
JASSO,29686322,12476
VERGARA,29698733,12411
ULLOA,29711143,12410
JAIME,29723539,12396
ALCANTAR,29735928,12389
ELIAS,29748303,12375
GARIBAY,29760630,12327
MARES,29772948,12318
TIRADO,29785227,12279
BRIONES,29797504,12277
AGUAYO,29809742,12238
SANTILLAN,29821975,12233
GUARDADO,29834131,12156
MOTA,29846263,12132
FAJARDO,29858374,12111
SEGOVIA,29870472,12098
VALLES,29882551,12079
PADRON,29894626,12075
FIERRO,29906670,12044
MUNGUIA,29918712,12042
PEDRAZA,29930706,11994
JAUREGUI,29942655,11949
ALLEN,29954575,11920
LORENZO,29966473,11898
KING,29978341,11868
DUENAS,29990175,11834
ANGULO,30002005,11830
PRECIADO,30013819,11814
ZELAYA,30025527,11708
REGALADO,30037211,11684
ARMENDARIZ,30048891,11680
ROQUE,30060545,11654
MONTIEL,30072157,11612
LOMELI,30083759,11602
BARBOSA,30095325,11566
ALTAMIRANO,30106889,11564
LERMA,30118437,11548
BERRIOS,30129878,11441
ROLDAN,30141267,11389
MESA,30152624,11357
GREEN,30163980,11356
FERRER,30175331,11351
CARABALLO,30186672,11341
SCOTT,30198011,11339
BENAVIDEZ,30209339,11328
CACERES,30220599,11260
VALLADARES,30231834,11235
RAZO,30243039,11205
CINTRON,30254183,11144
BOLANOS,30265325,11142
MATEO,30276449,11124
JACOBO,30287539,11090
ALICEA,30298626,11087
QUINONEZ,30309661,11035
ESTRELLA,30320686,11025
CARREON,30331684,10998
ADAMS,30342680,10996
RUVALCABA,30353669,10989
RUELAS,30364650,10981
ALMONTE,30375630,10980
BELLO,30386572,10942
PORRAS,30397503,10931
HILL,30408417,10914
NELSON,30419253,10836
WRIGHT,30430084,10831
LOYA,30440899,10815
ZAMUDIO,30451677,10778
ALCARAZ,30462453,10776
FALCON,30473211,10758
BOTELLO,30483960,10749
CADENA,30494673,10713
ALBA,30505338,10665
CABRAL,30516002,10664
CAMARENA,30526666,10664
ARCHULETA,30537314,10648
VILLAGOMEZ,30547921,10607
CARLOS,30558526,10605
BALTAZAR,30569104,10578
LAZO,30579634,10530
URENA,30590161,10527
CEPEDA,30600659,10498
LANDEROS,30611140,10481
ARENAS,30621607,10467
DELVALLE,30632044,10437
NOLASCO,30642481,10437
ALANIS,30652903,10422
MERINO,30663299,10396
LARIOS,30673676,10377
SIFUENTES,30684051,10375
GODOY,30694411,10360
RODAS,30704760,10349
PEDROZA,30715087,10327
TELLO,30725407,10320
HARO,30735718,10311
ESTEVEZ,30746024,10306
SAUCEDA,30756278,10254
TRINIDAD,30766526,10248
CORRALES,30776750,10224
CAMARILLO,30786948,10198
BRISENO,30797142,10194
VILLATORO,30807310,10168
AMBRIZ,30817429,10119
FRANCISCO,30827529,10100
PICHARDO,30837624,10095
CEDILLO,30847703,10079
AMARO,30857777,10074
LLAMAS,30867844,10067
MENENDEZ,30877825,9981
SARMIENTO,30887742,9917
NINO,30897650,9908
PANIAGUA,30907553,9903
SERRATO,30917448,9895
TERRAZAS,30927341,9893
VALDOVINOS,30937221,9880
PEREA,30947097,9876
DELAGARZA,30956961,9864
GALARZA,30966824,9863
SALCIDO,30976679,9855
MANZO,30986479,9800
BAHENA,30996228,9749
TAVAREZ,31005960,9732
RIVERO,31015681,9721
OLGUIN,31025394,9713
ANGELES,31035068,9674
RAMON,31044698,9630
CAMPBELL,31054313,9615
VALERIO,31063912,9599
APODACA,31073504,9592
NARVAEZ,31083094,9590
BAKER,31092660,9566
SANTAMARIA,31102183,9523
ROJO,31111687,9504
MITCHELL,31121183,9496
PERDOMO,31130654,9471
ALCANTARA,31140123,9469
CURIEL,31149576,9453
LEDEZMA,31159016,9440
CALVILLO,31168433,9417
PAEZ,31177842,9409
MONTENEGRO,31187235,9393
ACEVES,31196586,9351
OLMOS,31205893,9307
FLOREZ,31215199,9306
ALDANA,31224500,9301
MACIEL,31233795,9295
IGLESIAS,31243061,9266
TINOCO,31252321,9260
PEREIRA,31261568,9247
TAVERAS,31270769,9201
VIERA,31279937,9168
HALL,31289096,9159
MAYORGA,31298212,9116
PAULINO,31307297,9085
ROBERTS,31316339,9042
MOSQUEDA,31325381,9042
MILLAN,31334417,9036
MAYA,31343419,9002
MATIAS,31352402,8983
CARRION,31361383,8981
INFANTE,31370326,8943
BADILLO,31379227,8901
OLIVAREZ,31388092,8865
ECHEVARRIA,31396946,8854
ABARCA,31405776,8830
CARTER,31414597,8821
ECHEVERRIA,31423403,8806
PHILLIPS,31432206,8803
MONTEZ,31440984,8778
GAONA,31449747,8763
DELUNA,31458502,8755
LIMA,31467234,8732
TORO,31475954,8720
RESENDEZ,31484654,8700
ISLAS,31493351,8697
DELRIO,31502040,8689
PERSON,31510722,8682
LUCAS,31519391,8669
CONCEPCION,31528030,8639
LEBRON,31536660,8630
RUEDA,31545243,8583
ARANA,31553814,8571
PALOMINO,31562383,8569
JORDAN,31570948,8565
OLIVO,31579504,8556
OCASIO,31588058,8554
LUCIO,31596611,8553
MELGAR,31605158,8547
PLASCENCIA,31613666,8508
EVANS,31622164,8498
CAMARGO,31630635,8471
CEDENO,31639089,8454
PARTIDA,31647533,8444
MIRAMONTES,31655972,8439
INIGUEZ,31664408,8436
AVINA,31672842,8434
SANABRIA,31681258,8416
BARRETO,31689670,8412
JURADO,31698063,8393
LOZA,31706443,8380
PARDO,31714822,8379
BARBA,31723200,8378
BARAHONA,31731575,8375
GALICIA,31739935,8360
MENJIVAR,31748293,8358
ANTONIO,31756615,8322
EDWARDS,31764925,8310
CARDOZA,31773205,8280
SANTOYO,31781484,8279
SOLIZ,31789758,8274
ALFONSO,31798010,8252
MERAZ,31806231,8221
RODARTE,31814407,8176
CHAVIRA,31822577,8170
HERNANDES,31830729,8152
COLLINS,31838874,8145
MORRIS,31847005,8131
CARVAJAL,31855097,8092
STEWART,31863188,8091
PINTO,31871275,8087
MENDIOLA,31879359,8084
BALLESTEROS,31887440,8081
VILLAREAL,31895511,8071
MAGALLANES,31903553,8042
MARTINES,31911589,8036
MONTELONGO,31919622,8033
ALMARAZ,31927642,8020
TAFOYA,31935612,7970
MARISCAL,31943581,7969
TIJERINA,31951546,7965
MORGAN,31959504,7958
VICENTE,31967447,7943
MADERA,31975383,7936
COLLADO,31983314,7931
ROGERS,31991233,7919
COTA,31999150,7917
SARABIA,32007057,7907
CARTAGENA,32014943,7886
BAEZA,32022815,7872
GRACIA,32030664,7849
DEANDA,32038501,7837
LOZADA,32046317,7816
VALVERDE,32054110,7793
MARTE,32061899,7789
JAQUEZ,32069683,7784
TURNER,32077457,7774
MONCADA,32085206,7749
ARGUELLO,32092935,7729
JARA,32100627,7692
JAMES,32108307,7680
OVIEDO,32115973,7666
MANRIQUEZ,32123638,7665
PARADA,32131267,7629
PELAYO,32138894,7627
PARKER,32146492,7598
SALVADOR,32154053,7561
MAGDALENO,32161572,7519
LEIVA,32169083,7511
ASCENCIO,32176593,7510
ALVARENGA,32184096,7503
CONDE,32191584,7488
SANTACRUZ,32199059,7475
MENCHACA,32206518,7459
CARO,32213966,7448
TERAN,32221414,7448
URIAS,32228862,7448
MANZANO,32236302,7440
OROSCO,32243721,7419
VACA,32251140,7419
ORDAZ,32258550,7410
CASTELLON,32265955,7405
QUEVEDO,32273345,7390
VILLALPANDO,32280730,7385
BIANCO,32288101,7371
GASPAR,32295461,7360
OLIVERA,32302808,7347
LOREDO,32310154,7346
MANCILLA,32317487,7333
MELCHOR,32324777,7290
MORIN,32332053,7276
CASTANON,32339327,7274
IBANEZ,32346596,7269
FERREIRA,32353863,7267
TAMEZ,32361097,7234
ZAYAS,32368318,7221
MURPHY,32375534,7216
KELLY,32382726,7192
OVALLE,32389916,7190
MONGE,32397098,7182
FAVELA,32404280,7182
SAMANIEGO,32411453,7173
SERVIN,32418554,7101
PUENTES,32425653,7099
GRIEGO,32432723,7070
ABREGO,32439782,7059
FRAUSTO,32446823,7041
ARMIJO,32453858,7035
ORTA,32460885,7027
GARRIDO,32467910,7025
VANEGAS,32474914,7004
AMEZCUA,32481892,6978
OSUNA,32488862,6970
CALDERA,32495830,6968
GRIJALVA,32502780,6950
TALAVERA,32509727,6947
GAITAN,32516665,6938
ZAMARRIPA,32523603,6938
POSADA,32530538,6935
RESTREPO,32537443,6905
RICHARDSON,32544327,6884
CANDELARIA,32551199,6872
SALMERON,32558065,6866
BAZAN,32564928,6863
SANCHES,32571791,6863
PALACIO,32578648,6857
SEVILLA,32585497,6849
AVELAR,32592331,6834
GURROLA,32599140,6809
TURCIOS,32605947,6807
QUESADA,32612730,6783
CASANOVA,32619501,6771
LAGUNAS,32626265,6764
MAESTAS,32633028,6763
BUENROSTRO,32639791,6763
MIGUEL,32646549,6758
BOCANEGRA,32653297,6748
COOPER,32660035,6738
PENALOZA,32666758,6723
DELTORO,32673471,6713
OROPEZA,32680184,6713
ARAIZA,32686888,6704
PETERSON,32693567,6679
MONTEMAYOR,32700240,6673
MANZANARES,32706885,6645
DESANTIAGO,32713525,6640
PINO,32720158,6633
CARDOSO,32726788,6630
TENORIO,32733416,6628
CORONEL,32740037,6621
GALAN,32746657,6620
VERDUZCO,32753267,6610
PUGA,32759862,6595
DUQUE,32766445,6583
PALOMO,32773013,6568
COOK,32779579,6566
CASAREZ,32786130,6551
ALEJANDRO,32792669,6539
VERDUGO,32799202,6533
PALOMARES,32805734,6532
BARCENAS,32812251,6517
MURO,32818749,6498
CARRIZALES,32825244,6495
CARRASQUILLO,32831734,6490
ALEXANDER,32838220,6486
VELIZ,32844703,6483
LUIS,32851184,6481
RAYA,32857665,6481
VELARDE,32864133,6468
GASTELUM,32870600,6467
GARDUNO,32877023,6423
CARRENO,32883440,6417
PASCUAL,32889824,6384
BARELA,32896190,6366
DAVALOS,32902551,6361
WARD,32908906,6355
ARANGO,32915260,6354
URRUTIA,32921605,6345
BAILEY,32927939,6334
PINON,32934271,6332
PIZARRO,32940583,6312
ROSS,32946890,6307
ARRIOLA,32953178,6288
SORTO,32959464,6286
RECINOS,32965743,6279
HOWARD,32972019,6276
BROOKS,32978260,6241
BEJARANO,32984494,6234
LEIJA,32990704,6210
LOVATO,32996899,6195
BENNETT,33003088,6189
LAZARO,33009276,6188
BARBOZA,33015460,6184
QUILES,33021637,6177
MENESES,33027795,6158
ARREGUIN,33033950,6155
REED,33040100,6150
ESCALERA,33046250,6150
ANDINO,33052399,6149
YEPEZ,33058543,6144
LIZARRAGA,33064683,6140
LANDAVERDE,33070823,6140
NUNO,33076960,6137
MACEDO,33083095,6135
BORREGO,33089225,6130
TOBAR,33095346,6121
RAMIRES,33101463,6117
LANDA,33107567,6104
MACHUCA,33113658,6091
HERMOSILLO,33119748,6090
WATSON,33125835,6087
LORA,33131922,6087
COX,33138008,6086
DELAFUENTE,33144086,6078
ALBARRAN,33150164,6078
WOOD,33156231,6067
IZAGUIRRE,33162278,6047
DIMAS,33168318,6040
CHAIREZ,33174356,6038
FOSTER,33180391,6035
GALAVIZ,33186418,6027
MICHEL,33192433,6015
CASTREJON,33198438,6005
GIRALDO,33204442,6004
CIFUENTES,33210443,6001
LUEVANO,33216414,5971
MANDUJANO,33222372,5958
GRAY,33228303,5931
CARPIO,33234233,5930
UMANA,33240159,5926
SANDERS,33246079,5920
PERRY,33251999,5920
FABIAN,33257913,5914
OZUNA,33263807,5894
SARAVIA,33269676,5869
RIZO,33275544,5868
DELAO,33281395,5851
HUGHES,33287230,5835
PABON,33293061,5831
BEDOLLA,33298890,5829
GUADARRAMA,33304718,5828
RASCON,33310535,5817
AGUERO,33316330,5795
NAZARIO,33322121,5791
COLIN,33327907,5786
BOJORQUEZ,33333685,5778
CATALAN,33339460,5775
COTTO,33345230,5770
MEDELLIN,33350993,5763
PINEDO,33356731,5738
ARVIZU,33362466,5735
CHAPARRO,33368177,5711
LUCIANO,33373869,5692
TOSCANO,33379559,5690
ENCARNACION,33385244,5685
SIMON,33390924,5680
DELCID,33396597,5673
FUNES,33402262,5665
ALEGRIA,33407925,5663
ALMAGUER,33413579,5654
AVENDANO,33419209,5630
GRIMALDO,33424825,5616
GUDINO,33430439,5614
PAYAN,33436045,5606
OBREGON,33441651,5606
IZQUIERDO,33447248,5597
MONTESDEOCA,33452814,5566
PERAZA,33458362,5548
ESQUEDA,33463887,5525
CLAUDIO,33469389,5502
HENDERSON,33474870,5481
HUIZAR,33480343,5473
ORONA,33485815,5472
ANTUNEZ,33491283,5468
OLMEDO,33496751,5468
GARNICA,33502216,5465
ROYBAL,33507678,5462
RUSSELL,33513128,5450
QUIROGA,33518562,5434
GARCES,33523995,5433
BELL,33529421,5426
ALMEIDA,33534790,5369
BARCIA,33540144,5354
LEOS,33545489,5345
VILLEDA,33550819,5330
SALGUERO,33556146,5327
ALEJO,33561451,5305
ARAMBULA,33566750,5299
GONSALEZ,33572046,5296
PALAFOX,33577336,5290
SULLIVAN,33582617,5281
BUSTILLOS,33587898,5281
PRICE,33593167,5269
ELIZALDE,33598423,5256
MOREIRA,33603671,5248
CERNA,33608917,5246
VIRAMONTES,33614157,5240
GALDAMEZ,33619397,5240
OLIVER,33624635,5238
ALMAZAN,33629854,5219
FISHER,33635071,5217
RIOJAS,33640281,5210
DELAPAZ,33645488,5207
DURON,33650688,5200
POWELL,33655882,5194
PELAEZ,33661073,5191
DAMIAN,33666248,5175
MONZON,33671422,5174
BALDERRAMA,33676595,5173
SUAZO,33681758,5163
ZACARIAS,33686920,5162
REZA,33692079,5159
ELLIS,33697237,5158
BUTLER,33702379,5142
LONG,33707516,5137
TOLENTINO,33712646,5130
GRAHAM,33717775,5129
ROA,33722896,5121
MARAVILLA,33727995,5099
MELO,33733093,5098
MAGALLON,33738188,5095
ALVA,33743278,5090
STEVENS,33748365,5087
BARNES,33753450,5085
JAVIER,33758527,5077
GALLO,33763603,5076
MONREAL,33768666,5063
ROLON,33773710,5044
RUANO,33778749,5039
GOVEA,33783787,5038
MAZARIEGOS,33788822,5035
MELGOZA,33793856,5034
CALVO,33798884,5028
CORIA,33803903,5019
PATTERSON,33808894,4991
ARMAS,33813881,4987
CASTELLANO,33818850,4969
OQUENDO,33823816,4966
CASTANO,33828770,4954
HAMILTON,33833712,4942
MARMOLEJO,33838648,4936
LECHUGA,33843579,4931
COLEMAN,33848508,4929
BRUNO,33853436,4928
MCDONALD,33858363,4927
GORDON,33863282,4919
REYNOLDS,33868188,4906
CABAN,33873093,4905
TARANGO,33877997,4904
CAMPA,33882899,4902
CARCAMO,33887801,4902
HARRISON,33892690,4889
RUBALCAVA,33897578,4888
VELOZ,33902464,4886
BORJA,33907341,4877
REY,33912217,4876
WALLACE,33917089,4872
DIEGO,33921952,4863
BARRIGA,33926808,4856
HENRY,33931663,4855
AGOSTO,33936508,4845
NERI,33941345,4837
CHARLES,33946180,4835
BERUMEN,33951011,4831
DORADO,33955841,4830
MYERS,33960668,4827
SIMMONS,33965481,4813
MURRAY,33970288,4807
ZENDEJAS,33975095,4807
FELIPE,33979896,4801
WEST,33984693,4797
TINAJERO,33989475,4782
AGUILA,33994246,4771
LAGUNA,33999013,4767
ALBERTO,34003771,4758
PIEDRA,34008529,4758
FELIZ,34013284,4755
ARZATE,34018034,4750
PIZANO,34022783,4749
MARSHALL,34027528,4745
CERON,34032259,4731
ABEYTA,34036989,4730
FREGOSO,34041718,4729
MOREL,34046446,4728
CESPEDES,34051163,4717
COLE,34055869,4706
MALAVE,34060572,4703
VIVEROS,34065270,4698
MORALEZ,34069962,4692
CELIS,34074645,4683
CHAIDEZ,34079322,4677
