name,,api weight
NGUYEN,422108,422108
LEE,714702,292594
KIM,962545,247843
PATEL,1180513,217968
TRAN,1361471,180958
CHEN,1524471,163000
LI,1632657,108186
LE,1738730,106073
WANG,1843382,104652
YANG,1946032,102650
SINGH,2042665,96633
WONG,2138989,96324
PHAM,2220214,81225
PARK,2298080,77866
LIN,2374288,76208
LIU,2449225,74937
CHANG,2522019,72794
HUANG,2592278,70259
WU,2661395,69117
ZHANG,2730159,68764
CHAN,2798635,68476
KHAN,2860523,61888
SHAH,2913995,53472
HUYNH,2967165,53170
YU,3017170,50005
LAM,3066051,48881
CHOI,3114851,48800
KAUR,3161697,46846
VANG,3208147,46450
HO,3254506,46359
CHUNG,3293309,38803
TRUONG,3330378,37069
XIONG,3367153,36775
PHAN,3403411,36258
VU,3438363,34952
VO,3473174,34811
LIM,3507322,34148
LU,3541432,34110
TANG,3574054,32622
CHO,3605909,31855
NGO,3637745,31836
CHENG,3668955,31210
KANG,3699197,30242
TAN,3728866,29669
NG,3757953,29087
DANG,3786822,28869
DO,3815541,28719
HOANG,3844161,28620
LY,3872434,28273
HONG,3900341,27907
HAN,3928000,27659
BUI,3955603,27603
AHMED,3982922,27319
MA,4009527,26605
CHU,4035794,26267
SHARMA,4061679,25885
ALI,4087425,25746
XU,4112598,25173
ZHENG,4137340,24742
DUONG,4161386,24046
SONG,4185278,23892
LIANG,4208626,23348
ZHOU,4231641,23015
KUMAR,4254576,22935
SUN,4277301,22725
LAU,4299963,22662
THAO,4322620,22657
ZHAO,4344499,21879
CHIN,4365411,20912
ZHU,4386299,20888
SHIN,4406942,20643
LEUNG,4426277,19335
JIANG,4445274,18997
HU,4464259,18985
THOMAS,4482708,18449
REYES,4501005,18297
SANTOS,4519284,18279
GUPTA,4537155,17871
CHEUNG,4555006,17851
LAI,4572576,17570
DESAI,4590049,17473
OH,4607507,17458
CRUZ,4624852,17345
CAO,4642123,17271
YEE,4659324,17201
HWANG,4676515,17191
YI,4693453,16938
HA,4710325,16872
DINH,4726808,16483
GARCIA,4743250,16442
JUNG,4759530,16280
LO,4775589,16059
HSU,4791444,15855
CHAU,4807184,15740
YOON,4822465,15281
LUU,4837614,15149
MAI,4852524,14910
CHOW,4867372,14848
TRINH,4882137,14765
HE,4896873,14736
YOUNG,4911551,14678
FONG,4926060,14509
RAHMAN,4940434,14374
HER,4954741,14307
LUONG,4968717,13976
MOUA,4982256,13539
MEHTA,4995579,13323
DOAN,5008681,13102
HUSSAIN,5021687,13006
RAMOS,5034570,12883
KWON,5047315,12745
YOO,5059943,12628
KO,5072407,12464
KONG,5084859,12452
SMITH,5097073,12214
CHIU,5109207,12134
SU,5121318,12111
DELACRUZ,5133410,12092
SHEN,5145449,12039
TAM,5157464,12015
CHONG,5169412,11948
MENDOZA,5181332,11920
PAN,5193238,11906
GAO,5205092,11854
BEGUM,5216930,11838
GUO,5228709,11779
DONG,5240403,11694
VUE,5251865,11462
WOO,5263159,11294
CHOWDHURY,5274350,11191
MATHEW,5285498,11148
THAI,5296630,11132
LOR,5307717,11087
BAUTISTA,5318703,10986
JAIN,5329555,10852
TONG,5340278,10723
YAN,5350957,10679
CHUN,5361601,10644
DAO,5372180,10579
JOHNSON,5382617,10437
TSAI,5392989,10372
FENG,5403291,10302
GILL,5413356,10065
JIN,5423402,10046
PAK,5433382,9980
MALIK,5443322,9940
AHN,5453235,9913
JOSEPH,5463088,9853
GEORGE,5472889,9801
LUO,5482650,9761
SHI,5492389,9739
FERNANDEZ,5502118,9729
FANG,5511792,9674
AHMAD,5521369,9577
QUACH,5530918,9549
YE,5540463,9545
XIE,5550003,9540
JOSHI,5559418,9415
ISLAM,5568784,9366
CHOU,5578038,9254
RAO,5587206,9168
CHA,5596307,9101
VUONG,5605396,9089
WEI,5614443,9047
FLORES,5623469,9026
CHAO,5632484,9015
LOPEZ,5641404,8920
DEGUZMAN,5650226,8822
SYED,5658946,8720
MOON,5667641,8695
TU,5676319,8678
JANG,5684888,8569
TO,5693380,8492
ONG,5701755,8375
SON,5710112,8357
YUN,5718459,8347
REDDY,5726799,8340
YUAN,5735080,8281
ENG,5743345,8265
GONZALES,5751505,8160
LIAO,5759640,8135
KWAN,5767750,8110
CAI,5775854,8104
PENG,5783895,8041
ABRAHAM,5791921,8026
FAN,5799921,8000
CHIANG,5807917,7996
RIVERA,5815895,7978
PEREZ,5823870,7975
AMIN,5831769,7899
FU,5839641,7872
FUNG,5847378,7737
AQUINO,5855094,7716
SIDDIQUI,5862784,7690
DENG,5870439,7655
VILLANUEVA,5878044,7605
AN,5885631,7587
TA,5893190,7559
WILLIAMS,5900666,7476
LEONG,5908119,7453
YEUNG,5915564,7445
ZENG,5922977,7413
CHOE,5930312,7335
BROWN,5937640,7328
DELEON,5944904,7264
VAN,5952163,7259
MEI,5959378,7215
DU,5966543,7165
JOHN,5973677,7134
PARIKH,5980782,7105
LEI,5987853,7071
CASTILLO,5994857,7004
GUAN,6001824,6967
PHUNG,6008754,6930
SUNG,6015682,6928
SO,6022586,6904
CASTRO,6029472,6886
KUO,6036349,6877
PRASAD,6043170,6821
SUH,6049915,6745
SEO,6056642,6727
YUEN,6063339,6697
VARGHESE,6070027,6688
HUA,6076712,6685
YAO,6083394,6682
LOUIE,6090065,6671
SANDHU,6096715,6650
PANG,6103361,6646
ALAM,6109938,6577
TSANG,6116413,6475
YEH,6122870,6457
MIN,6129303,6433
GANDHI,6135685,6382
MARTINEZ,6142045,6360
MARTIN,6148368,6323
NAIR,6154691,6323
JONES,6160963,6272
MILLER,6167234,6271
HUNG,6173495,6261
TORRES,6179755,6260
HERNANDEZ,6186014,6259
RODRIGUEZ,6192255,6241
DAS,6198495,6240
PERSAUD,6204691,6196
TANAKA,6210851,6160
YIN,6217004,6153
SAECHAO,6223129,6125
CHI,6229246,6117
DAVID,6235345,6099
DOMINGO,6241443,6098
QURESHI,6247506,6063
NAKAMURA,6253545,6039
YAMAMOTO,6259569,6024
XIAO,6265564,5995
HSIEH,6271545,5981
MOY,6277507,5962
RANA,6283453,5946
HANG,6289399,5946
AU,6295336,5937
DIEP,6301267,5931
LA,6307183,5916
BAE,6313070,5887
SANCHEZ,6318952,5882
TSE,6324774,5822
NAM,6330572,5798
YIP,6336360,5788
KING,6342084,5724
LONG,6347772,5688
KAO,6353374,5602
WEN,6358952,5578
HOSSAIN,6364525,5573
JACOB,6370087,5562
YIM,6375649,5562
LUI,6381201,5552
CHAUDHRY,6386711,5510
SANTIAGO,6392210,5499
DAVIS,6397680,5470
THACH,6403130,5450
TOM,6408566,5436
SHAIKH,6413999,5433
GONG,6419402,5403
HUI,6424796,5394
KWONG,6430147,5351
QUAN,6435481,5334
LEW,6440779,5298
MAO,6446052,5273
WAN,6451298,5246
GU,6456541,5243
JEONG,6461772,5231
KWOK,6466993,5221
SATO,6472210,5217
SHRESTHA,6477421,5211
RAMIREZ,6482605,5184
MOHAMMED,6487787,5182
ROY,6492938,5151
AGARWAL,6498066,5128
DIZON,6503160,5094
IQBAL,6508251,5091
VERMA,6513326,5075
UDDIN,6518367,5041
SORIANO,6523405,5038
LING,6528443,5038
TOLENTINO,6533475,5032
LUM,6538467,4992
BHATT,6543454,4987
CHING,6548432,4978
LAO,6553389,4957
YOU,6558337,4948
WATANABE,6563262,4925
DHILLON,6568175,4913
PAUL,6573066,4891
ZHONG,6577956,4890
DELROSARIO,6582820,4864
WILSON,6587631,4811
ANDERSON,6592415,4784
RAI,6597179,4764
TSENG,6601914,4735
GEE,6606608,4694
ARORA,6611269,4661
SHIH,6615912,4643
IM,6620549,4637
DING,6625181,4632
SHEIKH,6629809,4628
FRANCISCO,6634387,4578
LAW,6638954,4567
MAK,6643478,4524
YEN,6647992,4514
PASCUAL,6652467,4475
KOO,6656933,4466
REN,6661367,4434
DAI,6665798,4431
HASAN,6670224,4426
SUZUKI,6674617,4393
ZOU,6679006,4389
NI,6683394,4388
QIU,6687738,4344
KULKARNI,6692057,4319
SIDHU,6696360,4303
SIM,6700658,4298
SHIM,6704954,4296
HOU,6709211,4257
WENG,6713427,4216
TAYLOR,6717633,4206
SIU,6721830,4197
VALDEZ,6726017,4187
HASSAN,6730202,4185
KU,6734371,4169
POON,6738537,4166
MERCADO,6742699,4162
UNG,6746846,4147
DIAZ,6750982,4136
SRINIVASAN,6755116,4134
CORPUZ,6759248,4132
MISHRA,6763369,4121
SOK,6767489,4120
VONG,6771604,4115
BHATIA,6775718,4114
GUTIERREZ,6779823,4105
JEON,6783913,4090
TON,6787983,4070
MAHMOOD,6792051,4068
SAM,6796116,4065
NAVARRO,6800148,4032
TAKAHASHI,6804166,4018
OU,6808177,4011
TUNG,6812157,3980
WON,6816125,3968
TAO,6820092,3967
CHOY,6824044,3952
JOSE,6827993,3949
MIRANDA,6831934,3941
KWAK,6835873,3939
GREWAL,6839806,3933
HOM,6843732,3926
CHUA,6847658,3926
JI,6851572,3914
AKHTAR,6855397,3825
JUN,6859220,3823
YAP,6863014,3794
TAI,6866806,3792
THOMPSON,6870594,3788
GO,6874378,3784
DAVE,6878150,3772
CHEA,6881903,3753
OCAMPO,6885647,3744
SHETH,6889386,3739
RHEE,6893121,3735
IYER,6896847,3726
SINHA,6900556,3709
KUANG,6904261,3705
GOMEZ,6907954,3693
MORALES,6911632,3678
SAMUEL,6915276,3644
MEDINA,6918895,3619
ZHEN,6922505,3610
KRISHNAN,6926113,3608
IGNACIO,6929715,3602
XIA,6933310,3595
ITO,6936895,3585
SHAO,6940462,3567
MATSUMOTO,6944015,3553
MIRZA,6947557,3542
CHEW,6951092,3535
MANUEL,6954626,3534
YAMADA,6958145,3519
FERNANDO,6961658,3513
ANAND,6965154,3496
MOORE,6968630,3476
VELASCO,6972106,3476
MUI,6975581,3475
LOW,6979048,3467
TRIVEDI,6982510,3462
CHIEN,6985965,3455
MISTRY,6989417,3452
BHATTI,6992853,3436
LIEU,6996288,3435
MO,6999705,3417
SAINI,7003115,3410
TIAN,7006520,3405
DEJESUS,7009919,3399
JAVIER,7013304,3385
JIMENEZ,7016688,3384
KAPOOR,7020025,3337
SIN,7023361,3336
CUI,7026696,3335
GHOSH,7030029,3333
UY,7033347,3318
PANDYA,7036663,3316
GURUNG,7039960,3297
CHON,7043248,3288
SUBRAMANIAN,7046529,3281
DEVERA,7049807,3278
ENRIQUEZ,7053075,3268
MENG,7056341,3266
CHOUDHURY,7059604,3263
TRIEU,7062854,3250
SILVA,7066102,3248
LAL,7069349,3247
WHITE,7072585,3236
RASHID,7075805,3220
BHAKTA,7079025,3220
PINEDA,7082236,3211
FERRER,7085447,3211
YOSHIDA,7088658,3211
SY,7091862,3204
GONZALEZ,7095057,3195
TENG,7098249,3192
KOH,7101435,3186
ANGELES,7104619,3184
XUE,7107798,3179
KHANG,7110970,3172
AGRAWAL,7114141,3171
YUNG,7117309,3168
JAMES,7120476,3167
ANTONIO,7123642,3166
KATO,7126808,3166
PASCUA,7129974,3166
HENG,7133131,3157
KIMURA,7136286,3155
ZAMAN,7139408,3122
KOBAYASHI,7142522,3114
QIAN,7145633,3111
PAREKH,7148743,3110
BANG,7151837,3094
CHANDRA,7154914,3077
SONI,7157980,3066
SRIVASTAVA,7161044,3064
ESPIRITU,7164107,3063
AGUILAR,7167165,3058
JO,7170223,3058
MARQUEZ,7173266,3043
CLARK,7176304,3038
VYAS,7179334,3030
KARIM,7182358,3024
SULTANA,7185381,3023
MANN,7188395,3014
CHAI,7191408,3013
SHUKLA,7194411,3003
SALVADOR,7197408,2997
RIZVI,7200401,2993
TSUI,7203394,2993
THAKKAR,7206383,2989
MOHAN,7209361,2978
LEWIS,7212338,2977
CORTEZ,7215307,2969
AGUSTIN,7218261,2954
DHALIWAL,7221215,2954
RUAN,7224167,2952
CABRERA,7227110,2943
SISON,7230052,2942
DELOSREYES,7232987,2935
HARRIS,7235920,2933
EVANGELISTA,7238838,2918
BAIG,7241748,2910
PHILIP,7244651,2903
MALHOTRA,7247552,2901
SAITO,7250452,2900
ANG,7253325,2873
BAI,7256197,2872
ANSARI,7259065,2868
REH,7261920,2855
NAIK,7264771,2851
BAEK,7267621,2850
GARG,7270469,2848
NELSON,7273316,2847
CHACKO,7276163,2847
KEO,7279006,2843
MANALO,7281848,2842
DELOSSANTOS,7284685,2837
GUERRERO,7287515,2830
GIANG,7290339,2824
MARIANO,7293159,2820
KUNG,7295979,2820
ASUNCION,7298795,2816
JOO,7301603,2808
YAU,7304410,2807
RAZA,7307213,2803
MODI,7310007,2794
PERSON,7312797,2790
HAM,7315583,2786
DSOUZA,7318363,2780
HIGA,7321141,2778
CHAUHAN,7323916,2775
SARMIENTO,7326684,2768
JACKSON,7329445,2761
ADHIKARI,7332190,2745
MOMIN,7334925,2735
TING,7337642,2717
ALVAREZ,7340356,2714
ROMERO,7343067,2711
MAN,7345772,2705
REHMAN,7348461,2689
MENON,7351141,2680
SITU,7353809,2668
PAL,7356474,2665
LAY,7359135,2661
KAM,7361794,2659
KHANNA,7364436,2642
CONCEPCION,7367077,2641
MAR,7369717,2640
PARMAR,7372350,2633
PATIL,7374977,2627
PERALTA,7377603,2626
RYU,7380217,2614
QIN,7382826,2609
ALLEN,7385432,2606
HALL,7388037,2605
BUTT,7390635,2598
HTOO,7393228,2593
CHOPRA,7395813,2585
RAY,7398396,2583
SALAZAR,7400976,2580
ANCHETA,7403555,2579
DANIEL,7406099,2544
SASAKI,7408639,2540
AZIZ,7411177,2538
ALEXANDER,7413714,2537
OSHIRO,7416247,2533
HSIAO,7418778,2531
HAQUE,7421302,2524
CHAUDHARY,7423823,2521
LAN,7426342,2519
SENG,7428843,2501
BANERJEE,7431338,2495
CHAE,7433829,2491
FERNANDES,7436311,2482
KAN,7438793,2482
LOO,7441274,2481
WIN,7443755,2481
QU,7446231,2476
CHUANG,7448705,2474
SZETO,7451178,2473
BAINS,7453648,2470
ZAIDI,7456116,2468
LEGASPI,7458583,2467
MOK,7461046,2463
RUIZ,7463499,2453
ROBINSON,7465936,2437
ACHARYA,7468369,2433
DAM,7470796,2427
YONG,7473215,2419
LIAN,7475622,2407
BAO,7478027,2405
ADAMS,7480423,2396
PAIK,7482818,2395
SETHI,7485204,2386
GOMES,7487589,2385
MOHAMMAD,7489972,2383
RAM,7492350,2378
SHAW,7494723,2373
AGGARWAL,7497081,2358
WALKER,7499435,2354
DOSHI,7501785,2350
BAKER,7504134,2349
LOU,7506479,2345
HAYASHI,7508822,2343
WRIGHT,7511162,2340
ACOSTA,7513499,2337
ANWAR,7515833,2334
SAHA,7518167,2334
JIA,7520500,2333
TSAO,7522829,2329
PATHAK,7525155,2326
MUKHERJEE,7527478,2323
JU,7529789,2311
SEN,7532097,2308
BANH,7534405,2308
TRINIDAD,7536710,2305
HILL,7539014,2304
SAMSON,7541318,2304
MOHAMED,7543620,2302
KAPADIA,7545921,2301
YAMAGUCHI,7548220,2299
ROBERTS,7550518,2298
QI,7552815,2297
VALENCIA,7555111,2296
CHEEMA,7557407,2296
SOHN,7559699,2292
HAHN,7561989,2290
HUH,7564279,2290
BRAR,7566552,2273
GALANG,7568814,2262
ALCANTARA,7571074,2260
SCOTT,7573315,2241
MURAKAMI,7575554,2239
SHU,7577771,2217
DESHPANDE,7579987,2216
ABAD,7582201,2214
PADILLA,7584413,2212
SIMON,7586625,2212
MOLINA,7588836,2211
RAJA,7591042,2206
SERRANO,7593245,2203
KHALID,7595446,2201
RAJ,7597646,2200
HAO,7599844,2198
MATHEWS,7602031,2187
AKTER,7604217,2186
TIEU,7606393,2176
ROSARIO,7608560,2167
BERNARDO,7610725,2165
SAXENA,7612883,2158
PRAKASH,7615039,2156
THAPA,7617194,2155
GUZMAN,7619348,2154
PHU,7621501,2153
TAING,7623647,2146
SAKAMOTO,7625792,2145
LIEN,7627935,2143
SEBASTIAN,7630076,2141
HYUN,7632217,2141
NOH,7634356,2139
MIAH,7636494,2138
JOE,7638628,2134
SETO,7640753,2125
TRANG,7642878,2125
IKEDA,7645001,2123
ESTRADA,7647117,2116
GAN,7649232,2115
PAW,7651342,2110
YUE,7653450,2108
SHETTY,7655555,2105
MERCHANT,7657657,2102
NARAYAN,7659756,2099
BHANDARI,7661855,2099
RANDHAWA,7663951,2096
SHIMIZU,7666044,2093
PHILLIPS,7668136,2092
GABRIEL,7670227,2091
SAN,7672315,2088
VERGARA,7674401,2086
NARAYANAN,7676485,2084
CHAND,7678567,2082
AUNG,7680648,2081
PRADHAN,7682727,2079
BHAT,7684806,2079
CO,7686876,2070
SAETERN,7688941,2065
ANDRES,7691001,2060
HASHIMOTO,7693061,2060
ASHRAF,7695119,2058
BANSAL,7697177,2058
CHAWLA,7699228,2051
CAMPBELL,7701274,2046
GOYAL,7703311,2037
LANG,7705347,2036
HUR,7707370,2023
FUJIMOTO,7709382,2012
FAJARDO,7711387,2005
SAELEE,7713392,2005
PERERA,7715393,2001
MORI,7717394,2001
GOEL,7719395,2001
SHERPA,7721394,1999
BYUN,7723390,1996
SAEPHAN,7725378,1988
DECASTRO,7727362,1984
RAMACHANDRAN,7729345,1983
TIWARI,7731323,1978
LAKHANI,7733298,1975
CAMACHO,7735266,1968
HUSAIN,7737230,1964
SARKAR,7739190,1960
VIRAY,7741148,1958
CHATTERJEE,7743104,1956
NAKAGAWA,7745059,1955
YAMASHITA,7747013,1954
ABBAS,7748965,1952
MAH,7750914,1949
IP,7752861,1947
MUN,7754806,1945
KOTHARI,7756746,1940
HAGUE,7758681,1935
VARUGHESE,7760612,1931
INOUYE,7762542,1930
BORJA,7764467,1925
LUNA,7766390,1923
ORTIZ,7768312,1922
OUYANG,7770234,1922
RO,7772154,1920
KAUL,7774068,1914
SALEEM,7775979,1911
CHERIAN,7777885,1906
KHUU,7779785,1900
NISHIMURA,7781684,1899
SHANKAR,7783579,1895
NATARAJAN,7785473,1894
GREEN,7787365,1892
KANESHIRO,7789248,1883
CHE,7791127,1879
MEH,7793005,1878
KURIAN,7794872,1867
TIEN,7796737,1865
THAN,7798599,1862
PAI,7800457,1858
ABE,7802312,1855
HERRERA,7804162,1850
MITCHELL,7806007,1845
KHATRI,7807851,1844
AKHTER,7809691,1840
BAJWA,7811530,1839
PETERSON,7813366,1836
VENTURA,7815202,1836
HAQ,7817035,1833
CARLOS,7818865,1830
RAJAN,7820695,1830
AHUJA,7822518,1823
SAEED,7824336,1818
MORRIS,7826153,1817
PARKER,7827968,1815
NAYAK,7829776,1808
SHUM,7831578,1802
ROSALES,7833374,1796
SHAHID,7835168,1794
DALAL,7836960,1792
DUTTA,7838750,1790
MURPHY,7840538,1788
CHEE,7842324,1786
OKAMOTO,7844104,1780
HAIDER,7845879,1775
SEE,7847650,1771
NAKANO,7849421,1771
YING,7851187,1766
LUK,7852953,1766
PILLAI,7854716,1763
PANGILINAN,7856478,1762
LOH,7858238,1760
LUCAS,7859993,1755
ASLAM,7861748,1755
GE,7863500,1752
THANG,7865244,1744
YADAV,7866986,1742
SAKAI,7868727,1741
DELAROSA,7870464,1737
THOR,7872199,1735
FUJII,7873933,1734
ONO,7875660,1727
RAMAN,7877386,1726
COOK,7879110,1724
BISWAS,7880834,1724
DY,7882550,1716
NAQVI,7884265,1715
SAY,7885978,1713
KELLY,7887689,1711
VORA,7889400,1711
MATHUR,7891107,1707
ROQUE,7892812,1705
KUE,7894516,1704
CARTER,7896212,1696
PURI,7897908,1696
CARINO,7899602,1694
MAHAJAN,7901293,1691
ROBLES,7902983,1690
RAJU,7904671,1688
SOM,7906354,1683
MIYAMOTO,7908036,1682
NATIVIDAD,7909716,1680
MITTAL,7911394,1678
PANCHAL,7913072,1678
LAMA,7914748,1676
LORENZO,7916423,1675
RAMESH,7918097,1674
EVANS,7919768,1671
YOUN,7921436,1668
FATIMA,7923104,1668
BRIONES,7924770,1666
EDWARDS,7926432,1662
BELTRAN,7928094,1662
SHENG,7929755,1661
BIBI,7931413,1658
LUC,7933068,1655
WOOD,7934722,1654
THAKUR,7936376,1654
GUEVARRA,7938010,1634
ROGERS,7939642,1632
CHAVEZ,7941272,1630
YAMASAKI,7942896,1624
OKADA,7944514,1618
MARK,7946131,1617
COLLINS,7947746,1615
MATSUDA,7949360,1614
MITRA,7950966,1606
KE,7952567,1601
PANDEY,7954167,1600
MU,7955766,1599
MEAS,7957364,1598
KABIR,7958961,1597
BHAGAT,7960558,1597
MIAO,7962155,1597
NICOLAS,7963751,1596
CUNANAN,7965346,1595
VAIDYA,7966940,1594
ULLAH,7968532,1592
MATEO,7970122,1590
SOOD,7971708,1586
MENDIOLA,7973287,1579
VILLEGAS,7974861,1574
YEO,7976430,1569
BARTOLOME,7977998,1568
FRANCIS,7979564,1566
AUSTRIA,7981125,1561
STEWART,7982684,1559
TAMAYO,7984242,1558
KAMAL,7985799,1557
ZAMORA,7987354,1555
SALES,7988909,1555
CHOO,7990464,1555
BHATTACHARYA,7992018,1554
VASQUEZ,7993571,1553
ABBASI,7995123,1552
ZAFAR,7996673,1550
LOWE,7998222,1549
TOY,7999770,1548
SIDDIQI,8001318,1548
MORGAN,8002863,1545
SETH,8004405,1542
DUAN,8005947,1542
ESGUERRA,8007484,1537
DATTA,8009021,1537
DESILVA,8010556,1535
NGAI,8012091,1535
JUAN,8013622,1531
PAEK,8015150,1528
UM,8016677,1527
FAROOQ,8018202,1525
SURESH,8019727,1525
VARMA,8021250,1523
HASHMI,8022769,1519
HARADA,8024287,1518
TARIQ,8025802,1515
CANLAS,8027314,1512
OTA,8028813,1499
CHEONG,8030307,1494
CRISOSTOMO,8031798,1491
MIGUEL,8033288,1490
ATIENZA,8034776,1488
OO,8036263,1487
PEREIRA,8037748,1485
GAUTAM,8039233,1485
ZHUANG,8040716,1483
CHAKRABORTY,8042195,1479
CHINN,8043673,1478
YAM,8045151,1478
VARGAS,8046628,1477
MAC,8048105,1477
BHARDWAJ,8049572,1467
MAEDA,8051038,1466
KOHLI,8052504,1466
KHATUN,8053970,1466
TURNER,8055434,1464
SOE,8056898,1464
TAT,8058362,1464
ORTEGA,8059825,1463
ROXAS,8061284,1459
MATHAI,8062741,1457
SOLOMON,8064197,1456
MACH,8065653,1456
BASU,8067104,1451
HONDA,8068552,1448
MORITA,8070000,1448
CHAHAL,8071445,1445
CORDERO,8072889,1444
TAMURA,8074333,1444
MUNOZ,8075775,1442
OGAWA,8077214,1439
MUHAMMAD,8078652,1438
JAVED,8080089,1437
JHA,8081526,1437
HENRY,8082962,1436
JAMAL,8084398,1436
AOKI,8085832,1434
MIAN,8087259,1427
PENA,8088684,1425
TUN,8090109,1425
CHOUDHARY,8091530,1421
NATH,8092950,1420
GULATI,8094369,1419
WHANG,8095787,1418
KOSHY,8097205,1418
MOO,8098621,1416
MALLARI,8100035,1414
FUJITA,8101448,1413
REED,8102860,1412
ISHII,8104266,1406
BALLESTEROS,8105671,1405
COOPER,8107074,1403
ROSS,8108473,1399
GAMBOA,8109872,1399
TUAZON,8111268,1396
SAETEURN,8112663,1395
ARSHAD,8114056,1393
SUAREZ,8115448,1392
XIANG,8116839,1391
BAILEY,8118228,1389
CUSTODIO,8119617,1389
KANNAN,8121006,1389
BALASUBRAMANIAN,8122394,1388
SANG,8123780,1386
MEJIA,8125163,1383
ISMAIL,8126541,1378
CHOUDHRY,8127919,1378
VALENZUELA,8129296,1377
KHA,8130671,1375
VELASQUEZ,8132045,1374
RONG,8133415,1370
ISHIKAWA,8134777,1362
IN,8136139,1362
RODRIGUES,8137499,1360
NAKATA,8138859,1360
SHAN,8140218,1359
PABLO,8141576,1358
RAVAL,8142934,1358
JAN,8144291,1357
MAHARAJ,8145646,1355
ESPINOSA,8146999,1353
OUK,8148352,1353
AWAN,8149702,1350
PETERS,8151049,1347
KRISHNAMURTHY,8152396,1347
MEMON,8153740,1344
SALAS,8155082,1342
BLANCO,8156423,1341
HABIB,8157764,1341
GOH,8159104,1340
WATSON,8160442,1338
RAMAKRISHNAN,8161780,1338
BATRA,8163116,1336
HAMID,8164450,1334
ARIF,8165783,1333
GRAY,8167112,1329
BABU,8168441,1329
CAMPOS,8169767,1326
JANI,8171093,1326
SULLIVAN,8172418,1325
HOWARD,8173742,1324
ESTEBAN,8175066,1324
SOLIS,8176388,1322
NIE,8177710,1322
ROH,8179031,1321
PHUONG,8180352,1321
TAHIR,8181672,1320
MYINT,8182992,1320
MORENO,8184311,1319
LOK,8185630,1319
CHUI,8186949,1319
TRIPATHI,8188267,1318
DEVI,8189583,1316
BENNETT,8190895,1312
MANZANO,8192207,1312
RANI,8193519,1312
BUN,8194830,1311
MIYASHIRO,8196140,1310
VILORIA,8197449,1309
AFZAL,8198757,1308
ARELLANO,8200064,1307
MANI,8201371,1307
COX,8202677,1306
NASIR,8203982,1305
BI,8205286,1304
AHSAN,8206590,1304
KRISHNA,8207891,1301
IBRAHIM,8209191,1300
TSO,8210491,1300
NAKASHIMA,8211788,1297
SAHOTA,8213085,1297
NAKAMOTO,8214380,1295
MISRA,8215675,1295
MANANSALA,8216970,1295
SEVILLA,8218264,1294
BALTAZAR,8219555,1291
BHUIYAN,8220843,1288
BACH,8222126,1283
SOOHOO,8223408,1282
BOSE,8224688,1280
RAVI,8225968,1280
AYE,8227247,1279
AUYEUNG,8228526,1279
ALFONSO,8229804,1278
CHAUDHARI,8231082,1278
CASTANEDA,8232359,1277
WARD,8233635,1276
RYAN,8234911,1276
ENDO,8236187,1276
THONG,8237462,1275
HEO,8238736,1274
LAZARO,8240009,1273
VISWANATHAN,8241282,1273
ARAKAKI,8242553,1271
PRABHU,8243822,1269
WADA,8245090,1268
SOLANKI,8246358,1268
ASIF,8247625,1267
HASEGAWA,8248891,1266
CHADHA,8250157,1266
PERRY,8251420,1263
RUSSELL,8252682,1262
CHRISTIAN,8253944,1262
MAGNO,8255206,1262
BAJAJ,8256468,1262
MAY,8257728,1260
GUEVARA,8258986,1258
FUKUDA,8260244,1258
KAZI,8261499,1255
FOSTER,8262751,1252
NIU,8264002,1251
PHO,8265253,1251
MASUDA,8266503,1250
RICHARDSON,8267750,1247
GOTO,8268996,1246
DAHAL,8270242,1246
AZAM,8271486,1244
PADUA,8272728,1242
MATA,8273969,1241
CHANTHAVONG,8275210,1241
DELAPENA,8276447,1237
DIN,8277684,1237
INOUE,8278920,1236
BHATTARAI,8280154,1234
NAIDU,8281386,1232
SZE,8282618,1232
LENG,8283848,1230
DOMINGUEZ,8285076,1228
JAHAN,8286303,1227
SAO,8287529,1226
FELICIANO,8288751,1222
DEY,8289970,1219
KAMATH,8291188,1218
FRANCO,8292405,1217
ROS,8293619,1214
MEHRA,8294833,1214
BELL,8296046,1213
GALVEZ,8297257,1211
BHARGAVA,8298467,1210
DEAN,8299675,1208
NAKAYAMA,8300883,1208
LOI,8302091,1208
BROOKS,8303298,1207
BHATNAGAR,8304505,1207
MASOOD,8305705,1200
DIXIT,8306905,1200
PRICE,8308104,1199
GUILLERMO,8309303,1199
SUNGA,8310502,1199
CHIA,8311700,1198
PANGANIBAN,8312897,1197
XING,8314094,1197
RIAZ,8315289,1195
DANH,8316484,1195
MUSTAFA,8317675,1191
SUNDARAM,8318866,1191
UPADHYAY,8320057,1191
GOSWAMI,8321247,1190
THAM,8322436,1189
STEVENS,8323624,1188
YOSHIMURA,8324812,1188
HSIA,8326000,1188
UPPAL,8327187,1187
ALONZO,8328372,1185
KONDO,8329557,1185
KAPUR,8330742,1185
AKBAR,8331926,1184
GANESH,8333110,1184
NGUY,8334293,1183
HUGHES,8335474,1181
FISHER,8336654,1180
CALDERON,8337833,1179
VOONG,8339009,1176
GIN,8340181,1172
PANDIT,8341353,1172
CRISTOBAL,8342524,1171
SIDDIQUE,8343691,1167
NGHIEM,8344856,1165
CARREON,8346020,1164
PALMA,8347183,1163
RAHIM,8348346,1163
GROVER,8349508,1162
