name,,black weight
WILLIAMS,774920,774920
JOHNSON,1444252,669332
SMITH,2008823,564571
JONES,2557343,548520
BROWN,3068924,511581
JACKSON,3444499,375575
DAVIS,3797267,352768
THOMAS,4090272,293005
HARRIS,4354892,264620
ROBINSON,4592940,238048
TAYLOR,4806433,213493
WILSON,5014842,208409
MOORE,5215783,200941
WHITE,5401843,186060
LEWIS,5587115,185272
WALKER,5770471,183356
GREEN,5929509,159038
THOMPSON,6086165,156656
WASHINGTON,6241430,155265
ANDERSON,6389917,148487
SCOTT,6534610,144693
CARTER,6668772,134162
WRIGHT,6798342,129570
HILL,6924963,126621
ALLEN,7051261,126298
MILLER,7176231,124970
MITCHELL,7301188,124957
YOUNG,7420701,119513
LEE,7533871,113170
MARTIN,7644604,110733
CLARK,7751625,107021
KING,7857555,105930
EDWARDS,7962700,105145
TURNER,8067741,105041
COLEMAN,8165446,97705
JAMES,8262354,96908
EVANS,8353812,91458
HALL,8441699,87887
RICHARDSON,8529069,87370
ADAMS,8614214,85145
BROOKS,8698445,84231
PARKER,8781794,83349
JENKINS,8863685,81891
STEWART,8944469,80784
CAMPBELL,9023515,79046
HOWARD,9101612,78097
SIMMONS,9177592,75980
SANDERS,9253546,75954
HENDERSON,9327755,74209
COLLINS,9401722,73967
COOPER,9475092,73370
BELL,9546455,71363
WATSON,9616924,70469
ALEXANDER,9686576,69652
BUTLER,9755600,69024
BRYANT,9824188,68588
NELSON,9892053,67865
JORDAN,9956095,64042
MORRIS,10020126,64031
BARNES,10084026,63900
ROBERTS,10147022,62996
REED,10209713,62691
WOODS,10272344,62631
DIXON,10334955,62611
GRAY,10396803,61848
PHILLIPS,10458464,61661
GRIFFIN,10519592,61128
BAILEY,10580717,61125
POWELL,10641702,60985
BAKER,10702290,60588
FORD,10761436,59146
HOLMES,10819883,58447
BANKS,10877572,57689
DANIELS,10934060,56488
ROSS,10990163,56103
ROGERS,11046171,56008
PERRY,11102049,55878
PATTERSON,11157102,55053
JOSEPH,11211811,54709
FOSTER,11266337,54526
GRANT,11320274,53937
HUNTER,11373375,53101
HENRY,11425826,52451
OWENS,11477736,51910
MARSHALL,11528332,50596
MORGAN,11577772,49440
WALLACE,11626499,48727
GRAHAM,11674757,48258
PRICE,11723006,48249
WARD,11771191,48185
HAYES,11819150,47959
FREEMAN,11867086,47936
HAMILTON,11914919,47833
BOYD,11962141,47222
GORDON,12009315,47174
FRANKLIN,12056067,46752
HAWKINS,12101835,45768
SIMS,12147059,45224
ELLIS,12191409,44350
HARRISON,12235685,44276
BENNETT,12279089,43404
KELLY,12322460,43371
HICKS,12365016,42556
CRAWFORD,12407199,42183
GIBSON,12448726,41527
PORTER,12490141,41415
WATKINS,12531150,41009
JEFFERSON,12572114,40964
TUCKER,12612585,40471
WILLIS,12653023,40438
MATTHEWS,12693293,40270
MASON,12733506,40213
FIELDS,12771977,38471
HUGHES,12810087,38110
COOK,12848061,37974
REID,12886034,37973
SIMPSON,12923712,37678
HUDSON,12960718,37006
RUSSELL,12997696,36978
COLE,13034586,36890
WARREN,13071009,36423
WEST,13107196,36187
MURRAY,13142865,35669
MURPHY,13178425,35560
WELLS,13213671,35246
DOUGLAS,13248846,35175
MACK,13283706,34860
FRAZIER,13318133,34427
BRADLEY,13352436,34303
SHAW,13386424,33988
GREENE,13419891,33467
HARPER,13452524,32633
SPENCER,13485020,32496
CHARLES,13517437,32417
PERKINS,13549771,32334
PAYNE,13582041,32270
WEBB,13614262,32221
BYRD,13646397,32135
LAWRENCE,13678367,31970
OLIVER,13710181,31814
ROBERTSON,13741851,31670
COX,13773381,31530
MCDONALD,13804570,31189
AUSTIN,13835705,31135
BERRY,13866397,30692
LOVE,13897084,30687
MONTGOMERY,13927498,30414
BURTON,13957407,29909
MCCOY,13986986,29579
KNIGHT,14016529,29543
PIERRE,14045945,29416
BLACK,14075345,29400
STEPHENS,14104722,29377
NEAL,14133917,29195
PALMER,14162997,29080
HARVEY,14191912,28915
ANDREWS,14220785,28873
CUNNINGHAM,14249530,28745
HAYNES,14278064,28534
RILEY,14306538,28474
ARMSTRONG,14334910,28372
WADE,14363129,28219
FERGUSON,14391228,28099
PETERSON,14419308,28080
HAMPTON,14447305,27997
GLOVER,14475204,27899
LONG,14502958,27754
GARDNER,14530679,27721
MILES,14558157,27478
TATE,14585400,27243
CHAMBERS,14612471,27071
GARRETT,14639536,27065
HUNT,14666356,26820
SINGLETON,14692912,26556
REYNOLDS,14719364,26452
HINES,14745705,26341
CURRY,14771874,26169
HARDY,14797827,25953
LITTLE,14823527,25700
MOSLEY,14849024,25497
MILLS,14874504,25480
FISHER,14899817,25313
WALTON,14925075,25258
RICE,14950101,25026
CARR,14974892,24791
LAWSON,14999583,24691
CALDWELL,15024177,24594
ALSTON,15048679,24502
MYERS,15072909,24230
KENNEDY,15097015,24106
ROBERSON,15121048,24033
BOOKER,15145075,24027
TERRY,15168860,23785
GEORGE,15192604,23744
FRANCIS,15216337,23733
HOUSTON,15239944,23607
MCGEE,15263447,23503
DUNCAN,15286874,23427
RAY,15310232,23358
BURNS,15333561,23329
PERSON,15356824,23263
FULLER,15380014,23190
FLOWERS,15403194,23180
PEARSON,15426117,22923
WATTS,15448995,22878
INGRAM,15471864,22869
DORSEY,15494621,22757
THORNTON,15517359,22738
STEVENSON,15540052,22693
LANE,15562709,22657
GAINES,15584935,22226
STOKES,15607125,22190
WARE,15629258,22133
PARKS,15651324,22066
STEVENS,15673270,21946
CLARKE,15695188,21918
DENNIS,15717037,21849
DAWSON,15738564,21527
MCKINNEY,15759618,21054
HOLLOWAY,15780553,20935
REESE,15801427,20874
HORTON,15822129,20702
JENNINGS,15842813,20684
FLEMING,15863451,20638
DANIEL,15884033,20582
TYLER,15904503,20470
BATTLE,15924937,20434
GRAVES,15945299,20362
DUNN,15965650,20351
WILLIAMSON,15985664,20014
HOPKINS,16005664,20000
VAUGHN,16025627,19963
LUCAS,16045560,19933
WIGGINS,16065477,19917
JACOBS,16085297,19820
CLAY,16105078,19781
SUTTON,16124817,19739
RIVERS,16144507,19690
FLOYD,16163918,19411
RICHARDS,16183314,19396
DEAN,16202493,19179
MALONE,16221576,19083
BEIL,16240651,19075
MOSS,16259654,19003
MCCRAY,16278550,18896
BUSH,16297403,18853
HART,16316114,18711
CHAPMAN,16334818,18704
SHELTON,16353500,18682
HAIL,16372127,18627
LOGAN,16390666,18539
ARNOLD,16409194,18528
ALI,16427620,18426
GIBBS,16446026,18406
MOHAMED,16464375,18349
TOWNSEND,16482699,18324
GILBERT,16500997,18298
SAUNDERS,16519266,18269
RHODES,16537436,18170
RODGERS,16555577,18141
HOLLAND,16573695,18118
SIMON,16591806,18111
BATES,16609878,18072
MORRISON,16627829,17951
WILKINS,16645747,17918
LOWE,16663599,17852
PIERCE,16681426,17827
ROSE,16699235,17809
MATHIS,16716936,17701
ANTHONY,16734533,17597
ELLIOTT,16752128,17595
CANNON,16769543,17415
FLETCHER,16786919,17376
NICHOLS,16804214,17295
PITTMAN,16821441,17227
MCKENZIE,16838503,17062
NORMAN,16855476,16973
GARNER,16872436,16960
HOWELL,16889331,16895
BENJAMIN,16906208,16877
GLENN,16922939,16731
BARNETT,16939654,16715
BOONE,16956334,16680
BLAKE,16972997,16663
WHEELER,16989617,16620
LINDSEY,17006016,16399
DICKERSON,17022397,16381
HUBBARD,17038685,16288
MCDANIEL,17054966,16281
LYONS,17071167,16201
BRANCH,17087335,16168
COBB,17103479,16144
MONROE,17119617,16138
CURTIS,17135742,16125
MAYS,17151775,16033
WOODARD,17167774,15999
MCCLAIN,17183716,15942
MUHAMMAD,17199522,15806
COPELAND,17215316,15794
BOLDEN,17231084,15768
SULLIVAN,17246840,15756
PAUL,17262592,15752
BRADFORD,17278310,15718
PAGE,17294020,15710
CUMMINGS,17309613,15593
PITTS,17325206,15593
LOUIS,17340754,15548
CHANDLER,17356298,15544
RANDOLPH,17371807,15509
COLLIER,17387249,15442
CARROLL,17402668,15419
MANNING,17417912,15244
KELLEY,17433106,15194
POPE,17448290,15184
TILLMAN,17463323,15033
SOLOMON,17478265,14942
WHITFIELD,17493150,14885
JEAN,17508007,14857
BULLOCK,17522753,14746
MOODY,17537481,14728
HODGES,17552157,14676
HARRELL,17566818,14661
STANLEY,17581444,14626
BURNETT,17596070,14626
BRIDGES,17610590,14520
BARBER,17625082,14492
HINTON,17639548,14466
NASH,17654003,14455
CLAYTON,17668428,14425
MCNEIL,17682841,14413
WEAVER,17697210,14369
WEBSTER,17711553,14343
PETERS,17725868,14315
BOWMAN,17740169,14301
CALHOUN,17754414,14245
WILKERSON,17768651,14237
GREGORY,17782870,14219
LLOYD,17797065,14195
CROSS,17811242,14177
COTTON,17825372,14130
WATERS,17839419,14047
MAXWELL,17853439,14020
CRAIG,17867453,14014
ONEAL,17881448,13995
BASS,17895440,13992
BENSON,17909419,13979
WILEY,17923391,13972
WOOD,17937355,13964
BALDWIN,17951282,13927
PATTON,17965137,13855
LYNCH,17978955,13818
TERRELL,17992760,13805
BURGESS,18006562,13802
ATKINS,18020342,13780
WHITAKER,18034116,13774
STEELE,18047879,13763
KNOX,18061561,13682
GILMORE,18075231,13670
NEWTON,18088878,13647
WINSTON,18102454,13576
REEVES,18115996,13542
MOSES,18129513,13517
BONNER,18143008,13495
FOWLER,18156479,13471
BLACKWELL,18169905,13426
BARRETT,18183318,13413
CHRISTIAN,18196634,13316
HODGE,18209821,13187
BEASLEY,18222993,13172
RUFFIN,18236117,13124
BREWER,18249176,13059
HAIRSTON,18262184,13008
HOLT,18275182,12998
POLK,18288176,12994
NORRIS,18301115,12939
RAMSEY,18314050,12935
RUCKER,18326931,12881
LEONARD,18339801,12870
POOLE,18352569,12768
HEARD,18365331,12762
HARMON,18378051,12720
CHERRY,18390769,12718
MCBRIDE,18403472,12703
RICHARD,18416115,12643
GOODWIN,18428591,12476
DAVENPORT,18441066,12475
PRINCE,18453541,12475
STONE,18466006,12465
GAMBLE,18478458,12452
JOYNER,18490907,12449
EPPS,18503350,12443
STARKS,18515786,12436
SAMUEL,18528181,12395
SMALL,18540570,12389
PATRICK,18552951,12381
DILLARD,18565297,12346
CARSON,18577621,12324
MCCALL,18589891,12270
CHATMAN,18602142,12251
MCDOWELL,18614377,12235
COVINGTON,18626606,12229
TOLBERT,18638774,12168
GREER,18650941,12167
FARMER,18663089,12148
ELLISON,18675217,12128
NIXON,18687267,12050
MIDDLETON,18699256,11989
TYSON,18711240,11984
MCKNIGHT,18723172,11932
SAMUELS,18735026,11854
BISHOP,18746851,11825
BALLARD,18758664,11813
SAMPSON,18770443,11779
STRONG,18782178,11735
MORTON,18793866,11688
MCLEAN,18805507,11641
STRICKLAND,18817136,11629
BURKS,18828758,11622
GOODMAN,18840335,11577
NICHOLSON,18851901,11566
CLEMONS,18863398,11497
BURRELL,18874892,11494
WYNN,18886379,11487
BLAIR,18897825,11446
MINOR,18909233,11408
FRANCOIS,18920621,11388
HUMPHREY,18932006,11385
WELCH,18943384,11378
MASSEY,18954736,11352
BUCHANAN,18966066,11330
WESLEY,18977390,11324
MCGHEE,18988700,11310
NEWMAN,18999993,11293
DUKES,19011246,11253
SMALLS,19022498,11252
SYKES,19033742,11244
POLLARD,19044963,11221
HAMMOND,19056147,11184
HOOD,19067270,11123
PUGH,19078374,11104
BLUE,19089471,11097
MCFADDEN,19100535,11064
GIVENS,19111597,11062
CARPENTER,19122625,11028
SPEARS,19133599,10974
DAY,19144570,10971
MADISON,19155445,10875
SIMMS,19166293,10848
BRIGGS,19177133,10840
MOBLEY,19187959,10826
BURKE,19198723,10764
NOEL,19209403,10680
WISE,19220077,10674
WHITEHEAD,19230739,10662
AHMED,19241378,10639
GILES,19251994,10616
MCNEAL,19262597,10603
MCCLENDON,19273153,10556
KEMP,19283688,10535
ROWE,19294211,10523
DAVIDSON,19304687,10476
GILL,19315149,10462
BLACKMON,19325603,10454
PAIGE,19336047,10444
RANDALL,19346490,10443
CONNER,19356931,10441
COLBERT,19367364,10433
PEOPLES,19377794,10430
WALLS,19388210,10416
ENGLISH,19398611,10401
JAMISON,19408994,10383
CAIN,19419355,10361
GARY,19429686,10331
MCMILLAN,19440002,10316
LOCKETT,19450096,10094
WALTERS,19460186,10090
MCINTOSH,19470272,10086
SLAUGHTER,19480338,10066
GATES,19490394,10056
GILLIAM,19500435,10041
MYLES,19510459,10024
BERNARD,19520406,9947
MIMS,19530346,9940
LOWERY,19540282,9936
RANDLE,19550213,9931
SHEPPARD,19560114,9901
DUDLEY,19570014,9900
MAY,19579900,9886
HALE,19589783,9883
ARRINGTON,19599652,9869
CAMERON,19609517,9865
DIGGS,19619364,9847
GOLDEN,19629161,9797
GRIMES,19638953,9792
SAVAGE,19648721,9768
TODD,19658465,9744
CROSBY,19668208,9743
EVERETT,19677943,9735
WYATT,19687669,9726
MCCULLOUGH,19697375,9706
PRATT,19707051,9676
PRESTON,19716713,9662
SHEPHERD,19726353,9640
MILTON,19735984,9631
HARDEN,19745531,9547
PRUITT,19755069,9538
PRYOR,19764531,9462
BENTON,19773990,9459
BEARD,19783443,9453
PAYTON,19792894,9451
DAWKINS,19802331,9437
BOWEN,19811758,9427
ALFORD,19821167,9409
VALENTINE,19830574,9407
SHIELDS,19839977,9403
DURHAM,19849375,9398
BLOUNT,19858735,9360
WOODSON,19868047,9312
TATUM,19877354,9307
NORWOOD,19886648,9294
WALLER,19895904,9256
LAMBERT,19905159,9255
BELLAMY,19914410,9251
PICKETT,19923649,9239
FOX,19932880,9231
CALLOWAY,19942102,9222
BLAND,19951256,9154
ERVIN,19960404,9148
MADDOX,19969546,9142
DRAKE,19978671,9125
HARGROVE,19987790,9119
ROLLINS,19996906,9116
HOGAN,20006015,9109
MCNAIR,20015100,9085
NEWSOME,20024175,9075
AVERY,20033247,9072
HORNE,20042303,9056
ODOM,20051355,9052
BOND,20060404,9049
HUTCHINSON,20069423,9019
BETHEA,20078439,9016
HAYWOOD,20087450,9011
HOLLEY,20096458,9008
SHANNON,20105461,9003
WOOTEN,20114454,8993
MERRITT,20123422,8968
RICKS,20132336,8914
YATES,20141235,8899
BRAXTON,20150120,8885
GIPSON,20158992,8872
FELDER,20167862,8870
DOTSON,20176688,8826
LIVINGSTON,20185483,8795
CHILDS,20194231,8748
BOYKIN,20202939,8708
MAYFIELD,20211630,8691
HIGHTOWER,20220294,8664
CONLEY,20228899,8605
LOCKHART,20237495,8596
HIGGINS,20246089,8594
LYLES,20254677,8588
WARNER,20263256,8579
UNDERWOOD,20271832,8576
GALLOWAY,20280374,8542
HERRING,20288914,8540
BEST,20297446,8532
TALLEY,20305969,8523
HASSAN,20314460,8491
BRUCE,20322948,8488
MAGEE,20331413,8465
RICHMOND,20339875,8462
SUMMERS,20348304,8429
STEWARD,20356731,8427
MORROW,20365097,8366
SHARP,20373438,8341
LESTER,20381767,8329
KENDRICK,20390060,8293
HARRINGTON,20398349,8289
KEYS,20406638,8289
HOLLIS,20414922,8284
RUSH,20423204,8282
OSBORNE,20431483,8279
MANN,20439750,8267
KEY,20447994,8244
WOMACK,20456186,8192
WITHERSPOON,20464362,8176
WILDER,20472529,8167
MAYES,20480696,8167
SHERMAN,20488853,8157
GRIFFITH,20496992,8139
EDMONDS,20505127,8135
SKINNER,20513250,8123
DONALDSON,20521336,8086
HOLMAN,20529382,8046
FINLEY,20537424,8042
BYNUM,20545458,8034
GASTON,20553483,8025
CLEVELAND,20561506,8023
KIRKLAND,20569479,7973
GRIER,20577440,7961
DUNBAR,20585387,7947
ASHLEY,20593317,7930
BALL,20601244,7927
MATHEWS,20609168,7924
SPENCE,20617022,7854
LOFTON,20624871,7849
HESTER,20632690,7819
MAYO,20640503,7813
ADDISON,20648306,7803
DARDEN,20656075,7769
FOREMAN,20663835,7760
BRIGHT,20671589,7754
HOOKS,20679315,7726
HATCHER,20687021,7706
GROSS,20694724,7703
CROCKETT,20702410,7686
HICKMAN,20710091,7681
PROCTOR,20717770,7679
BRUNSON,20725449,7679
HOUSE,20733116,7667
ARTIS,20740776,7660
BRANDON,20748424,7648
DOZIER,20756065,7641
DUNLAP,20763690,7625
CRENSHAW,20771313,7623
CHANEY,20778932,7619
CAREY,20786546,7614
FORBES,20794157,7611
BOWERS,20801767,7610
SELLERS,20809362,7595
BRANTLEY,20816952,7590
ISAAC,20824530,7578
HOBBS,20832070,7540
HOLLINS,20839608,7538
MCRAE,20847126,7518
HENDRICKS,20854642,7516
PARHAM,20862154,7512
MACKEY,20869665,7511
MARSH,20877166,7501
LOTT,20884656,7490
PENN,20892128,7472
MCPHERSON,20899591,7463
HEATH,20907050,7459
ATKINSON,20914501,7451
JEANBAPTISTE,20921944,7443
HUFF,20929384,7440
CRUMP,20936801,7417
MCLEOD,20944213,7412
VINCENT,20951619,7406
DUPREE,20959018,7399
RAINEY,20966415,7397
BROUSSARD,20973796,7381
STERLING,20981173,7377
MANUEL,20988548,7375
FULTON,20995899,7351
TRAVIS,21003249,7350
VINSON,21010580,7331
PETTY,21017901,7321
LINDSAY,21025217,7316
SCALES,21032530,7313
ANTOINE,21039829,7299
MCQUEEN,21047090,7261
GLASS,21054342,7252
MCGILL,21061592,7250
FELTON,21068813,7221
GOODE,21076025,7212
GAY,21083233,7208
GUY,21090440,7207
BROCK,21097644,7204
TONEY,21104839,7195
DIALLO,21112013,7174
WILLIAM,21119183,7170
GRAYSON,21126339,7156
MCINTYRE,21133472,7133
MELTON,21140581,7109
SINGLETARY,21147679,7098
JOHN,21154733,7054
PARRISH,21161785,7052
KEITH,21168825,7040
COLES,21175863,7038
GOODEN,21182889,7026
BOWENS,21189891,7002
STAFFORD,21196882,6991
BRADSHAW,21203854,6972
LACY,21210821,6967
JEFFRIES,21217782,6961
HOLDER,21224732,6950
BUTTS,21231658,6926
AMOS,21238578,6920
ALLISON,21245481,6903
MAJOR,21252369,6888
MARKS,21259248,6879
BOLTON,21266119,6871
STALLWORTH,21272970,6851
GANT,21279818,6848
SHARPE,21286665,6847
CROWDER,21293503,6838
BARKER,21300327,6824
BAXTER,21307127,6800
GUILLORY,21313923,6796
HARDIN,21320718,6795
EDMOND,21327512,6794
WINTERS,21334285,6773
MCMILLIAN,21341034,6749
JETER,21347782,6748
SWAIN,21354521,6739
BRYAN,21361258,6737
FERRELL,21367995,6737
ASKEW,21374732,6737
ECHOLS,21381462,6730
SHEPARD,21388184,6722
COLEY,21394900,6716
ABDI,21401613,6713
ROUSE,21408317,6704
SNEED,21415009,6692
SAWYER,21421686,6677
ORR,21428344,6658
STEPHENSON,21434994,6650
FITZGERALD,21441640,6646
BAPTISTE,21448263,6623
SPARKS,21454879,6616
BUCKNER,21461459,6580
BRITT,21468037,6578
PACE,21474613,6576
DUMAS,21481176,6563
DAVID,21487720,6544
BONDS,21494256,6536
MCKOY,21500766,6510
MCGOWAN,21507267,6501
FOUNTAIN,21513767,6500
MCCLOUD,21520250,6483
KIDD,21526721,6471
ETIENNE,21533187,6466
BOSTON,21539648,6461
MCFARLAND,21546107,6459
SANFORD,21552563,6456
ROYAL,21558995,6432
SEALS,21565425,6430
EASON,21571849,6424
QUINN,21578269,6420
ABRAHAM,21584679,6410
RANSOM,21591086,6407
TROTTER,21597484,6398
LANG,21603870,6386
SPANN,21610254,6384
KIMBLE,21616634,6380
STINSON,21622992,6358
PLUMMER,21629311,6319
MEADOWS,21635616,6305
PICKENS,21641920,6304
ROACH,21648218,6298
CARRINGTON,21654494,6276
REDMOND,21660760,6266
FAISON,21667014,6254
HAWTHORNE,21673187,6173
LEACH,21679357,6170
GRIGGS,21685519,6162
HILLIARD,21691672,6153
REAVES,21697809,6137
HOLDEN,21703944,6135
LONDON,21710078,6134
DUBOSE,21716198,6120
GUNN,21722309,6111
WHITLEY,21728417,6108
DARBY,21734522,6105
VANCE,21740617,6095
SMILEY,21746712,6095
GRADY,21752801,6089
IRVING,21758871,6070
BOWIE,21764923,6052
HUGGINS,21770965,6042
JOHNS,21776998,6033
ARMSTEAD,21783030,6032
MEEKS,21789042,6012
STOVALL,21795054,6012
DRAYTON,21801059,6005
NOBLE,21807059,6000
SLOAN,21813050,5991
CHASE,21819027,5977
DICKSON,21824991,5964
EWING,21830950,5959
STUBBS,21836909,5959
DENSON,21842851,5942
TOLLIVER,21848777,5926
RODRIGUEZ,21854689,5912
HERRON,21860601,5912
GILLESPIE,21866509,5908
KAMARA,21872414,5905
ADKINS,21878316,5902
CHAVIS,21884210,5894
SHORT,21890095,5885
YARBROUGH,21895967,5872
WILCOX,21901832,5865
KIMBROUGH,21907693,5861
COATES,21913541,5848
BATISTE,21919378,5837
FREDERICK,21925202,5824
LANIER,21931022,5820
MICHEL,21936828,5806
LOVETT,21942626,5798
RIDDICK,21948413,5787
BRITTON,21954177,5764
SPIVEY,21959937,5760
WESTON,21965692,5755
GOINS,21971442,5750
KIRK,21977186,5744
RAGLAND,21982922,5736
BROWNE,21988650,5728
JARRETT,21994371,5721
MCNEILL,22000087,5716
GORE,22005801,5714
REDD,22011507,5706
LITTLEJOHN,22017210,5703
HENDRIX,22022904,5694
GRACE,22028596,5692
NEELY,22034273,5677
ROBBINS,22039947,5674
BRINSON,22045608,5661
ABRAMS,22051261,5653
DAILEY,22056901,5640
DICKENS,22062540,5639
THURMAN,22068177,5637
BARKSDALE,22073808,5631
FAULKNER,22079438,5630
MCDUFFIE,22085068,5630
AKINS,22090687,5619
BELTON,22096297,5610
COOLEY,22101903,5606
MALLORY,22107498,5595
GARRISON,22113083,5585
BURCH,22118650,5567
DENT,22124213,5563
IRVIN,22129764,5551
MOHAMMED,22135312,5548
MCCAIN,22140844,5532
THORPE,22146375,5531
CONWAY,22151901,5526
PRESSLEY,22157425,5524
TIMMONS,22162944,5519
TOUSSAINT,22168439,5495
CHRISTOPHER,22173932,5493
HOSKINS,22179423,5491
BACON,22184905,5482
RAYMOND,22190386,5481
POTTS,22195863,5477
COOKS,22201329,5466
NANCE,22206783,5454
FAIR,22212224,5441
SINCLAIR,22217656,5432
BARTON,22223087,5431
MELVIN,22228517,5430
HARDING,22233943,5426
HERBERT,22239345,5402
SEWELL,22244746,5401
TRIPLETT,22250137,5391
SCRUGGS,22255522,5385
COCHRAN,22260893,5371
DYER,22266251,5358
FRANK,22271608,5357
BOOTH,22276963,5355
TANNER,22282303,5340
BEVERLY,22287641,5338
CORBIN,22292975,5334
COHEN,22298293,5318
PINKNEY,22303609,5316
BRISCOE,22308913,5304
HOLLIDAY,22314216,5303
MCLAUGHLIN,22319512,5296
BOYCE,22324803,5291
HANDY,22330091,5288
BRICE,22335365,5274
IVEY,22340636,5271
IVORY,22345905,5269
PIERRELOUIS,22351171,5266
HAYDEN,22356432,5261
PURNELL,22361683,5251
COOKE,22366932,5249
GARCIA,22372179,5247
MCKAY,22377424,5245
ARCHIE,22382667,5243
HANNAH,22387906,5239
ALEXIS,22393142,5236
SINGH,22398372,5230
BOWDEN,22403600,5228
GENTRY,22408827,5227
TRAYLOR,22414037,5210
GABRIEL,22419246,5209
IVY,22424455,5209
AUGUSTIN,22429661,5206
MCLAURIN,22434857,5196
MARTINEZ,22440051,5194
RIGGINS,22445238,5187
FRENCH,22450421,5183
HENSON,22455601,5180
BARR,22460781,5180
SMART,22465952,5171
BUFORD,22471121,5169
DRUMMOND,22476286,5165
LAMB,22481450,5164
RUTLEDGE,22486614,5164
DONALD,22491775,5161
LOMAX,22496931,5156
TOLIVER,22502087,5156
PRINGLE,22507239,5152
SUGGS,22512383,5144
EASLEY,22517508,5125
REDDICK,22522617,5109
OVERTON,22527715,5098
IRBY,22532799,5084
BLACKMAN,22537879,5080
WILLS,22542955,5076
JOINER,22548031,5076
HENLEY,22553097,5066
HOPSON,22558160,5063
SHORTER,22563205,5045
BEAN,22568247,5042
BRADY,22573286,5039
PHELPS,22578323,5037
NEWELL,22583351,5028
DOSS,22588374,5023
ASHFORD,22593397,5023
VAUGHAN,22598417,5020
LAW,22603437,5020
HALEY,22608445,5008
QUARLES,22613453,5008
IBRAHIM,22618442,4989
LOPEZ,22623426,4984
BARRY,22628408,4982
BENTLEY,22633383,4975
CASEY,22638354,4971
HURT,22643322,4968
LIPSCOMB,22648290,4968
COMBS,22653243,4953
LANDRY,22658190,4947
CHEATHAM,22663129,4939
SLATER,22668065,4936
ELMORE,22673000,4935
COWAN,22677930,4930
KIRBY,22682855,4925
ROYSTER,22687777,4922
MULLINS,22692691,4914
WORTHY,22697602,4911
STANFORD,22702508,4906
DILLON,22707403,4895
LASSITER,22712293,4890
ARCHER,22717182,4889
BETTS,22722069,4887
LESLIE,22726951,4882
BRUMFIELD,22731831,4880
RATLIFF,22736710,4879
HURST,22741579,4869
PRITCHETT,22746445,4866
VANN,22751305,4860
RAWLS,22756163,4858
TINSLEY,22761005,4842
GAYLE,22765839,4834
MCCORMICK,22770669,4830
LEVY,22775497,4828
CANTY,22780325,4828
ROY,22785130,4805
PINCKNEY,22789926,4796
POINDEXTER,22794720,4794
RIDLEY,22799503,4783
NICHOLAS,22804283,4780
OUTLAW,22809056,4773
GADSON,22813829,4773
MCALLISTER,22818600,4771
HOOPER,22823367,4767
MOSBY,22828134,4767
MCKINLEY,22832900,4766
FINCH,22837656,4756
BUCKLEY,22842402,4746
WEATHERS,22847143,4741
BOSTIC,22851880,4737
POWERS,22856616,4736
HARLEY,22861349,4733
BURRIS,22866074,4725
MCCANTS,22870785,4711
SMALLWOOD,22875484,4699
GARLAND,22880181,4697
COBBS,22884869,4688
ELDER,22889552,4683
CREWS,22894223,4671
TARVER,22898892,4669
FORREST,22903560,4668
GODFREY,22908223,4663
WILKES,22912885,4662
MEANS,22917541,4656
MCCLURE,22922191,4650
CHAPPELL,22926835,4644
FELIX,22931478,4643
NESBITT,22936118,4640
HEMPHILL,22940749,4631
DODSON,22945373,4624
AYERS,22949993,4620
KENT,22954607,4614
WESTBROOK,22959221,4614
MURRELL,22963825,4604
CAPERS,22968428,4603
BARRON,22973025,4597
RICH,22977621,4596
LAMAR,22982207,4586
JEANLOUIS,22986792,4585
CASH,22991372,4580
CRAFT,22995951,4579
DURANT,23000526,4575
MUSE,23005100,4574
BURROUGHS,23009671,4571
HEAD,23014234,4563
MOON,23018795,4561
GEE,23023350,4555
HINDS,23027905,4555
RANKIN,23032458,4553
COSBY,23037007,4549
MICKENS,23041533,4526
HILTON,23046055,4522
BYERS,23050575,4520
EATON,23055085,4510
HORN,23059594,4509
BARROW,23064074,4480
CURRIE,23068553,4479
LEMON,23073032,4479
OSMAN,23077494,4462
ROUNDTREE,23081954,4460
MERCER,23086402,4448
ARTHUR,23090839,4437
BARLOW,23095272,4433
ALBERT,23099705,4433
SHELBY,23104136,4431
POSEY,23108563,4427
BROADNAX,23112989,4426
LANGSTON,23117413,4424
WALL,23121829,4416
CLINTON,23126244,4415
BATTS,23130655,4411
DALEY,23135064,4409
LUCKETT,23139448,4384
FRYE,23143821,4373
TRICE,23148194,4373
JACK,23152558,4364
HUTCHINS,23156920,4362
CARMICHAEL,23161273,4353
BAH,23165621,4348
HOBSON,23169968,4347
BILLUPS,23174314,4346
RYAN,23178646,4332
WEATHERSPOON,23182978,4332
DYSON,23187307,4329
HASKINS,23191635,4328
NETTLES,23195963,4328
MURRY,23200290,4327
FORTUNE,23204614,4324
NUNN,23208935,4321
SHERROD,23213244,4309
MCCLINTON,23217550,4306
GUYTON,23221851,4301
DALE,23226150,4299
PARSON,23230437,4287
EUBANKS,23234723,4286
SPEARMAN,23239008,4285
BELCHER,23243290,4282
BRAY,23247569,4279
MACON,23251845,4276
ABDULLAH,23256115,4270
ROLAND,23260382,4267
YORK,23264647,4265
SNOW,23268910,4263
CRAWLEY,23273164,4254
RUDOLPH,23277414,4250
BECK,23281662,4248
BROWNLEE,23285906,4244
