Team,Region
ARI,AZ
ATL,GA North
BAL,MD
BUF,NY Northwest
CAR,NC West
CHI,IL
CIN,OH South
CLE,OH North
DAL,TX North
DEN,CO
DET,MI Lower
GB,WI
HOU,TX Coast
IND,IN
JAX,FL North
KC,MO West
LAC,CA South
LAR,CA South
LV,NV South
MIA,FL South
MIN,MN
NE,MA
NO,LA South
NYG,NY South
NYJ,NY South
PHI,PA Southeast
PIT,PA West
SEA,WA West
SF,CA Central
TB,FL Central
TEN,TN East
WAS,MD
